author;link;city;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;district;street;underground;residential_complex;author_type;price_per_m2
Римарком Владис;https://www.cian.ru/sale/flat/285078447/;Москва;sale;flat;3;9;2;43.0;10800000;Богородское;бульвар Маршала Рокоссовского;Бульвар Рокоссовского;;;
EstateLiga;https://www.cian.ru/sale/flat/283407792/;Москва;sale;flat;12;19;2;44.0;10900000;;;Бунинская аллея;;;
ПИК;https://www.cian.ru/sale/flat/273654264/;Москва;sale;flat;11;11;2;50.7;10910640;Крюково;Зеленоград;Пятницкое шоссе;Зеленый Парк ЖК;;
Адресат;https://www.cian.ru/sale/flat/285033032/;Москва;sale;flat;4;5;2;44.8;10900000;Кузьминки;Волгоградский проспект;;;;
Центр недвижимости от Сбербанка;https://www.cian.ru/sale/flat/286320946/;Москва;sale;flat;3;9;2;44.4;10990000;Чертаново Южное;Подольских Курсантов;Пражская;;;
ЛэндЛ;https://www.cian.ru/sale/flat/286089313/;Москва;sale;flat;4;5;2;44.1;10900000;Царицыно;Веселая;Царицыно;;;
МИЦ;https://www.cian.ru/sale/flat/286215479/;Москва;sale;flat;4;24;2;40.2;11022237;Марьина роща;Октябрьская;Марьина роща;Сити-комплекс MirrorЗдание;;
Центр недвижимости от Сбербанка;https://www.cian.ru/sale/flat/283043389/;Москва;sale;flat;3;9;2;44.5;11000000;Марьино;Подольская;Перерва;;;
Абсолют Недвижимость;https://www.cian.ru/sale/flat/285438379/;Москва;sale;flat;1;9;2;52.4;11043610;;;Рассказовка;;;
ДМД-НЕДВИЖИМОСТЬ;https://www.cian.ru/sale/flat/286293271/;Москва;sale;flat;8;12;2;47.5;11000000;Западное Дегунино;Дегунинская;Селигерская;;;
Реалист;https://www.cian.ru/sale/flat/285496905/;Москва;sale;flat;7;13;2;48.3;11000000;;;Ольховая;;;
ЭКСПЕРТ ПЛЮС;https://www.cian.ru/sale/flat/286392709/;Москва;sale;flat;2;3;2;48.8;11000000;Вешняки;аллея Первой Маевки;Рязанский проспект;;;
ID 160861;https://www.cian.ru/sale/flat/286611692/;Москва;sale;flat;7;9;2;41.0;11000000;Коптево;4-й Новомихалковский проезд;Лихоборы;;;
ПИК;https://www.cian.ru/sale/flat/286092678/;Москва;sale;flat;19;32;2;58.3;11109648;Митино;Северо-Западный ао;Пятницкое шоссе;Митинский Лес ЖК;;
ПИК;https://www.cian.ru/sale/flat/282440001/;Москва;sale;flat;17;33;2;46.08;11122513;Чертаново Южное;;Красный Строитель;Ютаново ЖК;;
Навигатор;https://www.cian.ru/sale/flat/286203574/;Москва;sale;flat;1;5;2;44.0;11200000;Савеловский;4-й Вятский переулок;Гражданская;;;
НДВ;https://www.cian.ru/sale/flat/286340809/;Москва;sale;flat;3;9;2;44.5;11200000;Отрадное;Северный бульвар;Отрадное;;;
Level Group;https://www.cian.ru/sale/flat/284905734/;Москва;sale;flat;9;30;2;36.2;11266164;Западное Дегунино;Северный ао;Селигерская;Левел Селигерская ЖК;;
Монолит Столица;https://www.cian.ru/sale/flat/283946190/;Москва;sale;flat;4;17;2;55.1;11200000;;;Ольховая;;;
Новые Ватутинки;https://www.cian.ru/sale/flat/278404032/;Москва;sale;flat;5;15;2;50.0;11200000;;;Филатов Луг;;;
ID 391042;https://www.cian.ru/sale/flat/284860961/;Москва;sale;flat;2;5;2;42.1;11300000;Войковский;1-я Радиаторская;Войковская;;;
ДСК-1;https://www.cian.ru/sale/flat/279003971/;Москва;sale;flat;-1;-1;-1;202.0;11399315;Молжаниновский;Ленинградское шоссе;Водники;Первый Ленинградский;;
Dream Realty;https://www.cian.ru/sale/flat/284178156/;Москва;sale;flat;10;17;2;53.5;11400000;Некрасовка;Липчанского;Некрасовка;;;
Этажи Москва;https://www.cian.ru/sale/flat/284336011/;Москва;sale;flat;9;9;2;44.8;11300000;Отрадное;Пестеля;Отрадное;;;
Абсолют Недвижимость;https://www.cian.ru/sale/flat/285928867/;Москва;sale;flat;7;17;2;54.6;11344219;;;Рассказовка;;;
Адресат;https://www.cian.ru/sale/flat/279939381/;Москва;sale;flat;2;5;2;40.0;11300000;Коптево;Лихоборские Бугры;;;;
Новые Ватутинки;https://www.cian.ru/sale/flat/281159656/;Москва;sale;flat;2;15;2;52.6;11447595;;;Ольховая;;;
ПИК;https://www.cian.ru/sale/flat/276091090/;Москва;sale;flat;23;33;2;51.5;11386032;Метрогородок;к1/2;Бульвар Рокоссовского;Открытый Парк ЖК;;
LaRichesse;https://www.cian.ru/sale/flat/285489164/;Москва;sale;flat;8;17;2;54.0;11400000;Ново-Переделкино;Лукинская;;;;
Bespoke Estate;https://www.cian.ru/sale/flat/285770929/;Москва;sale;flat;20;54;2;37.5;11400000;Покровское-Стрешнево;Северо-Западный ао;Трикотажная;City Bay;;
UINVEST;https://www.cian.ru/sale/flat/277218093/;Москва;sale;flat;10;16;2;43.8;11400000;;;Тёплый Стан;;;
Космополис;https://www.cian.ru/sale/flat/282959368/;Москва;sale;flat;9;12;2;52.0;11500000;Зябликово;Шипиловская;Шипиловская;;;
ПИК;https://www.cian.ru/sale/flat/278391078/;Москва;sale;flat;13;25;2;36.0;11522448;Бабушкинский;;Свиблово;Кольская 8 ЖК;;
Свой родной дом;https://www.cian.ru/sale/flat/277611109/;Москва;sale;flat;2;5;2;44.9;11500000;Зюзино;Азовская;Каховская;;;
ЕГСН Продажа;https://www.cian.ru/sale/flat/277417460/;Москва;sale;flat;8;17;2;54.8;11500000;Южное Бутово;Кадырова;Бунинская аллея;;;
ПИК;https://www.cian.ru/sale/flat/270787110/;Москва;sale;flat;28;33;2;40.2;11540455;Метрогородок;к1/3;Бульвар Рокоссовского;Лосиноостровский Парк ЖК;;
Этажи Москва;https://www.cian.ru/sale/flat/284371368/;Москва;sale;flat;5;14;2;40.9;11500000;Проспект Вернадского;Ленинский проспект;Проспект Вернадского;;;
Самолет Плюс Москва ЦАО;https://www.cian.ru/sale/flat/285551057/;Москва;sale;flat;4;9;2;34.5;11500000;Богородское;Игральная;;;;
Ramenky Realty;https://www.cian.ru/sale/flat/285861288/;Москва;sale;flat;3;9;2;37.5;11500000;Восточное Измайлово;16-я Парковая;Первомайская;;;
ID 86393982;https://www.cian.ru/sale/flat/286611768/;Москва;sale;flat;19;33;2;36.0;11500000;Западное Дегунино;Ижорская;Ховрино;;;
ЕГСН Продажа;https://www.cian.ru/sale/flat/286631031/;Москва;sale;flat;6;12;2;51.7;11600000;Бибирево;Мурановская;Алтуфьево;;;
Зоя Михайловна Григорович;https://www.cian.ru/sale/flat/285776609/;Москва;sale;flat;4;9;2;46.0;11600000;Северное Тушино;Героев Панфиловцев;Сходненская;;;
Основа;https://www.cian.ru/sale/flat/285922347/;Москва;sale;flat;-1;-1;-1;202.0;11781140;Северный;Федора Дубовицкого;Новодачная;ФизтехСити;;
А101;https://www.cian.ru/sale/flat/273049995/;Москва;sale;flat;5;9;2;38.2;11781615;;;Прокшино;;;
Этажи Москва;https://www.cian.ru/sale/flat/285704528/;Москва;sale;flat;6;12;2;47.7;11700000;Бабушкинский;Верхоянская;Бабушкинская;;;
ID 11524863;https://www.cian.ru/sale/flat/285696230/;Москва;sale;flat;2;7;2;59.4;11700000;Рязанский;Луховицкая;Окская;;;
На Петровке;https://www.cian.ru/sale/flat/285741673/;Москва;sale;flat;11;17;2;52.0;11780000;;;Филатов Луг;;;
Абсолют Недвижимость;https://www.cian.ru/sale/flat/285443962/;Москва;sale;flat;5;22;2;56.5;11661642;;;Филатов Луг;;;
Этажи Москва;https://www.cian.ru/sale/flat/286470148/;Москва;sale;flat;8;9;2;38.6;11700000;Раменки;Мосфильмовская;Ломоносовский проспект;;;
Ключи;https://www.cian.ru/sale/flat/286017272/;Москва;sale;flat;2;5;2;55.9;11800000;Богородское;Бойцовая;Бульвар Рокоссовского;;;
Этажи Москва;https://www.cian.ru/sale/flat/283102389/;Москва;sale;flat;6;12;2;40.0;11800000;Западное Дегунино;Дегунинская;Селигерская;;;
ПИК;https://www.cian.ru/sale/flat/285823283/;Москва;sale;flat;9;33;2;51.38;11832814;Чертаново Южное;;Красный Строитель;Ютаново ЖК;;
ID 478921;https://www.cian.ru/sale/flat/274570443/;Москва;sale;flat;16;16;2;51.0;11800000;Выхино-Жулебино;Волгоградский проспект;Юго-Восточная;;;
АНПЛАНЕТА;https://www.cian.ru/sale/flat/285812156/;Москва;sale;flat;7;12;2;53.8;11899000;;;Филатов Луг;;;
ID 60102614;https://www.cian.ru/sale/flat/285521234/;Москва;sale;flat;4;9;2;37.2;11800000;Царицыно;Каспийская;Царицыно;;;
ПИК;https://www.cian.ru/sale/flat/270785015/;Москва;sale;flat;4;21;2;51.8;11920734;Сокольники;Сокольнический Вал;Рижская;Сокольнический вал 1;;
МИЦ;https://www.cian.ru/sale/flat/286217679/;Москва;sale;flat;2;17;2;47.8;11981070;Печатники;Шоссейная;Перерва;Графика на воде;;
СТРОЙИНВЕСТ;https://www.cian.ru/sale/flat/282598701/;Москва;sale;flat;2;25;2;63.8;11923700;Некрасовка;Липчанского;Некрасовка;Некрасовка;;
СТРОЙИНВЕСТ;https://www.cian.ru/sale/flat/285167440/;Москва;sale;flat;13;25;2;63.8;11977292;Некрасовка;Липчанского;Некрасовка;Некрасовка;;
ПИК;https://www.cian.ru/sale/flat/282275775/;Москва;sale;flat;19;24;2;46.3;11938732;Текстильщики;Юго-Восточный ао;Текстильщики;Волжский Парк ЖК;;
CENTURY 21;https://www.cian.ru/sale/flat/286611733/;Москва;sale;flat;8;12;2;38.9;11950000;Котловка;Нагорная;Нагорная;;;
Tikhomirova Estate;https://www.cian.ru/sale/flat/278393110/;Москва;sale;flat;6;17;2;55.7;11999000;Выхино-Жулебино;Хлобыстова;Выхино;;;
Реалист;https://www.cian.ru/sale/flat/285052564/;Москва;sale;flat;15;17;2;56.0;11990000;;;Рассказовка;;;
Авеню-Мск;https://www.cian.ru/sale/flat/286204926/;Москва;sale;flat;2;22;2;58.0;11900000;Солнцево;Волынская;Говорово;;;
ID 20244260;https://www.cian.ru/sale/flat/285968222/;Москва;sale;flat;3;23;2;51.0;11900000;;;Рассказовка;;;
ID 378254;https://www.cian.ru/sale/flat/272871498/;Москва;sale;flat;7;14;2;60.0;11980000;;;Ольховая;;;
ID 87772104;https://www.cian.ru/sale/flat/286416739/;Москва;sale;flat;24;25;2;39.4;11990000;;;Саларьево;;;
ZIP Realty;https://www.cian.ru/sale/flat/284901639/;Москва;sale;flat;9;12;2;44.5;12000000;Можайский;Красных Зорь;Рабочий посёлок;;;
ПИК;https://www.cian.ru/sale/flat/285822181/;Москва;sale;flat;29;33;2;54.7;12021966;Алтуфьевский;Алтуфьевское шоссе;Отрадное;Алтуфьевское 53;;
Навигатор;https://www.cian.ru/sale/flat/285551578/;Москва;sale;flat;6;8;2;45.0;12000000;Южное Медведково;Ясный проезд;Бабушкинская;;;
ПРОГРЕСС;https://www.cian.ru/sale/flat/283847289/;Москва;sale;flat;15;22;2;42.8;12119449;Щукино;Большой Волоколамский проезд;Стрешнево;Комплекс апартаментов B’aires;;
Екатерина Боброва;https://www.cian.ru/sale/flat/283600245/;Москва;sale;flat;2;22;2;52.0;12000000;;;Филатов Луг;;;
ПИК;https://www.cian.ru/sale/flat/276122916/;Москва;sale;flat;31;33;2;58.9;12047641;Метрогородок;к1/4;Бульвар Рокоссовского;Открытый Парк ЖК;;
Century 21 Street Realty;https://www.cian.ru/sale/flat/286374342/;Москва;sale;flat;13;33;2;36.0;12000000;Западное Дегунино;Северный ао;Верхние Лихоборы;Тринити 2 ЖК;;
Dream Realty;https://www.cian.ru/sale/flat/286126736/;Москва;sale;flat;4;12;2;47.3;12000000;Бабушкинский;Печорская;Бабушкинская;;;
ID 97291806;https://www.cian.ru/sale/flat/285744668/;Москва;sale;flat;15;16;2;63.5;12100000;;;Бунинская аллея;;;
Этажи Москва;https://www.cian.ru/sale/flat/284711899/;Москва;sale;flat;2;15;2;53.0;12200000;Южное Бутово;Изюмская;Улица Скобелевская;;;
ПИК;https://www.cian.ru/sale/flat/283554046/;Москва;sale;flat;24;24;2;48.6;12153888;Отрадное;;Бибирево;Римского-Корсакова 11 ЖК;;
РГ-Девелопмент;https://www.cian.ru/sale/flat/281850039/;Москва;sale;flat;3;9;2;54.3;12163200;Чертаново Южное;;Аннино;Варшавские Ворота ЖК;;
ПИК;https://www.cian.ru/sale/flat/284814292/;Москва;sale;flat;4;23;2;53.9;12360348;Царицыно;;Кантемировская;Кавказский Бульвар 51 ЖК;;
Новые Ватутинки;https://www.cian.ru/sale/flat/282613198/;Москва;sale;flat;7;7;2;59.5;12257000;;;Ольховая;;;
ПИК;https://www.cian.ru/sale/flat/278941185/;Москва;sale;flat;26;33;2;46.0;12340696;Метрогородок;к2/1;Бульвар Рокоссовского;Лосиноостровский Парк ЖК;;
Ключи;https://www.cian.ru/sale/flat/282353874/;Москва;sale;flat;2;9;2;37.2;12290000;Хорошевский;Ленинградский проспект;Аэропорт;;;
Основа;https://www.cian.ru/sale/flat/285083950/;Москва;sale;flat;29;35;2;46.6;12349000;Ярославский;;Ростокино;Мираполис ЖК;;
COLDY;https://www.cian.ru/sale/flat/279637662/;Москва;sale;flat;2;21;2;43.28;12334800;Нижегородский;;Калитники;Н'айс Лофт ЖК;;
ОГРК;https://www.cian.ru/sale/flat/281499284/;Москва;sale;flat;2;9;2;43.4;12399000;Тимирязевский;Дмитровское шоссе;Петровско-Разумовская;;;
Ольга Калинина;https://www.cian.ru/sale/flat/284648590/;Москва;sale;flat;4;26;2;43.4;12300000;Головинский;Кронштадтский бульвар;Водный стадион;Водный;;
Эльвира Мусина;https://www.cian.ru/sale/flat/276599444/;Москва;sale;flat;9;16;2;55.0;12300000;;;;;;
ПИК;https://www.cian.ru/sale/flat/280317992/;Москва;sale;flat;3;13;2;40.9;12454540;Покровское-Стрешнево;Волоколамское шоссе;Спартак;Holland park;;
ПИК;https://www.cian.ru/sale/flat/281060950/;Москва;sale;flat;3;21;2;57.1;12436380;Сокольники;Сокольнический Вал;Рижская;Сокольнический вал 1;;
ЕГСН Продажа;https://www.cian.ru/sale/flat/275353231/;Москва;sale;flat;1;5;2;42.1;12450000;Раменки;2-й Мосфильмовский переулок;Ломоносовский проспект;;;
Этажи Москва;https://www.cian.ru/sale/flat/281036414/;Москва;sale;flat;17;18;2;50.1;12400000;;;Прокшино;;;
Абсолют Недвижимость;https://www.cian.ru/sale/flat/285443900/;Москва;sale;flat;20;22;2;58.5;12403948;;;Филатов Луг;;;
METRAGE;https://www.cian.ru/sale/flat/285490664/;Москва;sale;flat;8;12;2;48.0;12400000;Соколиная гора;9-я Соколиной Горы;Соколиная гора;;;
EstateLiga;https://www.cian.ru/sale/flat/285718453/;Москва;sale;flat;16;25;2;52.0;12500000;;;Саларьево;;;
CENTURY 21 Перспектива;https://www.cian.ru/sale/flat/280010087/;Москва;sale;flat;15;17;2;60.4;12600000;Некрасовка;Ухтомского Ополчения;Некрасовка;Некрасовка-Парк;;
Монолит Столица;https://www.cian.ru/sale/flat/283044789/;Москва;sale;flat;6;9;2;37.1;12500000;Черемушки;Архитектора Власова;Новые Черёмушки;;;
ПИК;https://www.cian.ru/sale/flat/281172385/;Москва;sale;flat;23;33;2;51.3;12643911;Очаково-Матвеевское;к1.1;Давыдково;Новое Очаково ЖК;;
CENTURY 21 Перспектива;https://www.cian.ru/sale/flat/285099549/;Москва;sale;flat;17;18;2;43.4;12500000;Рязанский;Михайлова;Окская;Михайловский парк;;
SKYHOUND;https://www.cian.ru/sale/flat/285702075/;Москва;sale;flat;9;9;2;37.3;12600000;Черемушки;Новочеремушкинская;Профсоюзная;;;
TOPBROKER estate;https://www.cian.ru/sale/flat/286091071/;Москва;sale;flat;1;12;2;48.0;12500000;Раменки;2-й Сетуньский проезд;Парк Победы;;;
ДСК-1;https://www.cian.ru/sale/flat/286456691/;Москва;sale;flat;-1;-1;-1;202.0;12733030;Молжаниновский;;Беломорская;Первый Ленинградский ЖК;;
Показал-Продал;https://www.cian.ru/sale/flat/284575007/;Москва;sale;flat;2;18;2;65.0;12700000;;;Саларьево;;;
Acropol;https://www.cian.ru/sale/flat/285747148/;Москва;sale;flat;10;17;2;55.0;12700000;Дмитровский;Ангарская;;;;
Ольга Сечина;https://www.cian.ru/sale/flat/286303908/;Москва;sale;flat;11;14;2;38.2;12700000;Перово;3-я Владимирская;Перово;;;
АРТ;https://www.cian.ru/sale/flat/286202851/;Москва;sale;flat;3;12;2;39.0;12800000;Войковский;5-й Войковский проезд;Стрешнево;;;
Свой родной дом;https://www.cian.ru/sale/flat/279488477/;Москва;sale;flat;3;5;2;42.3;12800000;Кузьминки;Юных Ленинцев;Волжская;;;
НДВ;https://www.cian.ru/sale/flat/267934907/;Москва;sale;flat;3;11;2;48.0;12800000;Северный;Долгопрудненское шоссе;Новодачная;Комплекс апартаментов Nord;;
Новые Ватутинки;https://www.cian.ru/sale/flat/282656108/;Москва;sale;flat;11;14;2;60.3;12777329;;;Ольховая;;;
Новые Ватутинки;https://www.cian.ru/sale/flat/281632642/;Москва;sale;flat;7;9;2;61.0;12809756;;;Ольховая;;;
ФСК;https://www.cian.ru/sale/flat/273021494/;Москва;sale;flat;-1;-1;-1;2.0;12795360;Покровское-Стрешнево;Северо-Западный ао;Спартак;Движение Тушино ЖК;;
Isaev Estate;https://www.cian.ru/sale/flat/283041444/;Москва;sale;flat;4;14;2;50.0;12800000;Южное Тушино;проезд Донелайтиса;Трикотажная;;;
Лиана Шарашенидзе;https://www.cian.ru/sale/flat/286622976/;Москва;sale;flat;2;9;2;45.0;12800000;Восточное Дегунино;Дубнинская;Дегунино;;;
ПИК;https://www.cian.ru/sale/flat/286577175/;Москва;sale;flat;7;33;2;58.3;12963704;Царицыно;Кавказский бульвар;Кантемировская;Кавказский бульвар 51;;
МИЦ;https://www.cian.ru/sale/flat/286215521/;Москва;sale;flat;22;24;2;42.44;12904519;Марьина роща;Октябрьская;Марьина роща;Сити-комплекс MirrorЗдание;;
ИНФИНИТИ;https://www.cian.ru/sale/flat/286477344/;Москва;sale;flat;8;9;2;37.0;12900000;Ломоносовский;Гарибальди;Новые Черёмушки;;;
МИЦ-Столичный ипотечный центр недвижимости;https://www.cian.ru/sale/flat/284853250/;Москва;sale;flat;8;12;2;52.0;12900000;Косино-Ухтомский;Святоозерская;Лухмановская;;;
Быстров Недвижимость;https://www.cian.ru/sale/flat/278814630/;Москва;sale;flat;9;17;2;57.7;12900000;Люблино;проезд Кирова;Депо;;;
3S Group;https://www.cian.ru/sale/flat/286088539/;Москва;sale;flat;7;29;2;34.13;12920128;Богородское;Открытое шоссе;Бульвар Рокоссовского;Талисман на Рокоссовского;;
АНПЛАНЕТА;https://www.cian.ru/sale/flat/286203279/;Москва;sale;flat;14;24;2;63.1;12990000;;;Рассказовка;;;
I AM ESTATE;https://www.cian.ru/sale/flat/283940697/;Москва;sale;flat;6;17;2;43.1;12990000;;;Бульвар Адмирала Ушакова;;;
Vysotsky Estate;https://www.cian.ru/sale/flat/285382459/;Москва;sale;flat;8;9;2;36.9;12900000;Даниловский;Крутицкая набережная;Дубровка;;;
Центр недвижимости от Сбербанка;https://www.cian.ru/sale/flat/283244818/;Москва;sale;flat;11;18;2;57.2;12900000;;;Бунинская аллея;;;
ГОРОБМЕН;https://www.cian.ru/sale/flat/286173018/;Москва;sale;flat;10;22;2;52.2;12990000;;;Филатов Луг;;;
Монолит Столица;https://www.cian.ru/sale/flat/284891795/;Москва;sale;flat;8;9;2;36.8;12900000;Черемушки;Севастопольский проспект;Зюзино;;;
CENTURY 21;https://www.cian.ru/sale/flat/285860846/;Москва;sale;flat;8;12;2;51.1;12950000;;;Прокшино;;;
CENTURY 21 Перспектива;https://www.cian.ru/sale/flat/286533202/;Москва;sale;flat;4;17;2;61.6;13000000;Некрасовка;Юго-Восточный ао;Некрасовка;;;
Этажи Москва;https://www.cian.ru/sale/flat/286534217/;Москва;sale;flat;4;17;2;61.6;13000000;Некрасовка;Покровская;Некрасовка;Некрасовка;;
ПИК;https://www.cian.ru/sale/flat/286291098/;Москва;sale;flat;24;24;2;52.7;13022380;Отрадное;;Бибирево;Римского-Корсакова 11 ЖК;;
Самолет Плюс Москва;https://www.cian.ru/sale/flat/284609710/;Москва;sale;flat;1;17;2;58.1;13000000;;;Рассказовка;;;
Level Group;https://www.cian.ru/sale/flat/284889845/;Москва;sale;flat;9;18;2;43.6;13055519;Печатники;;Кожуховская;Левел Южнопортовая ЖК;;
CENTURY 21;https://www.cian.ru/sale/flat/286057581/;Москва;sale;flat;1;12;2;48.0;13000000;Южнопортовый;Южнопортовая;Кожуховская;;;
Этажи Москва;https://www.cian.ru/sale/flat/286150217/;Москва;sale;flat;1;12;1;36.6;7500000;Бирюлево Восточное;Михневская;;;;
РГ-Девелопмент;https://www.cian.ru/sale/flat/282786128/;Москва;sale;flat;5;30;1;40.3;10248290;Чертаново Южное;;Аннино;Варшавские Ворота ЖК;;
КРОСТ;https://www.cian.ru/sale/flat/283267802/;Москва;sale;flat;7;19;1;29.0;13195000;Щукино;Расплетина;Октябрьское поле;Театральный квартал;;
TEKTA GROUP;https://www.cian.ru/sale/flat/280381626/;Москва;sale;flat;6;34;1;29.3;15095360;Обручевский;Обручева;Воронцовская;Ever;;
Группа Родина;https://www.cian.ru/sale/flat/285606696/;Москва;sale;flat;3;21;1;43.4;20381000;Ростокино;Сельскохозяйственная;Ботанический сад;СОЮЗ;;
AFI Development;https://www.cian.ru/sale/flat/285606454/;Москва;sale;flat;2;52;1;44.8;19232640;Свиблово;проезд Серебрякова;Свиблово;Afi Tower;;
Абсолют Недвижимость;https://www.cian.ru/sale/flat/285444249/;Москва;sale;flat;12;20;1;36.9;8254167;;;Рассказовка;;;
Level Group;https://www.cian.ru/sale/flat/286107141/;Москва;sale;flat;3;17;1;36.1;15694827;Басманный;Большая Почтовая;Электрозаводская;Level Бауманская;;
Основа;https://www.cian.ru/sale/flat/285084024/;Москва;sale;flat;13;35;1;43.3;11387900;Ярославский;;Ростокино;Мираполис ЖК;;
МССЗ;https://www.cian.ru/sale/flat/286067702/;Москва;sale;flat;4;19;1;37.0;16075501;Нагатинский затон;;Коломенская;Ривер Парк ЖК;;
Level Group;https://www.cian.ru/sale/flat/284889929/;Москва;sale;flat;23;24;1;34.5;11360628;Печатники;;Кожуховская;Левел Южнопортовая ЖК;;
МИЦ;https://www.cian.ru/sale/flat/286214633/;Москва;sale;flat;-1;-1;-1;202.0;16901755;Хорошево-Мневники;3-я Хорошевская;Карамышевская;Вереск;;
COLDY;https://www.cian.ru/sale/flat/279637630/;Москва;sale;flat;7;21;1;35.71;11631497;Нижегородский;;Калитники;Н'айс Лофт ЖК;;
OPN PARTNER;https://www.cian.ru/sale/flat/286208044/;Москва;sale;flat;6;10;1;40.08;11299000;Можайский;Сколковское шоссе;Сетунь;Stellar City;;
Realty Point - Точка недвижимости;https://www.cian.ru/sale/flat/286330652/;Москва;sale;flat;6;24;1;41.6;10950000;Марьино;Донецкая;Курьяново;Домашний;;
Д-Инвест;https://www.cian.ru/sale/flat/269474776/;Москва;sale;flat;15;18;1;33.3;9588102;Останкинский;Березовая аллея;Ботанический сад;Апарт-комплекс Легендарный квартал;;
МИЦ;https://www.cian.ru/sale/flat/286431119/;Москва;sale;flat;-1;-1;-1;202.0;6173910;;;Филатов Луг;;;
МИЦ;https://www.cian.ru/sale/flat/286215078/;Москва;sale;flat;-1;-1;-1;202.0;7570926;;;Саларьево;МелиСад ЖК;;
Новые Ватутинки;https://www.cian.ru/sale/flat/282733762/;Москва;sale;flat;3;14;1;41.2;7786800;;;Ольховая;;;
Абсолют Недвижимость;https://www.cian.ru/sale/flat/285928802/;Москва;sale;flat;11;17;1;36.1;9069883;;;Рассказовка;;;
Новые Ватутинки;https://www.cian.ru/sale/flat/282419384/;Москва;sale;flat;2;15;1;40.6;9185700;;;Ольховая;;;
Пионер;https://www.cian.ru/sale/flat/285184631/;Москва;sale;flat;3;10;2;65.93;20790972;Москворечье-Сабурово;;Каширская;Лайф Варшавская ЖК;;
ДСК-1;https://www.cian.ru/sale/flat/266784332/;Москва;sale;flat;-1;-1;-1;8.0;15277680;Молжаниновский;Ленинградское шоссе;Водники;Первый Ленинградский;;
Kalinka Group;https://www.cian.ru/sale/flat/269945703/;Москва;sale;flat;3;15;2;92.7;131355915;Якиманка;Большая Якиманка;Полянка;Коперник;;
TEKTA GROUP;https://www.cian.ru/sale/flat/273874696/;Москва;sale;flat;17;42;2;47.4;24704880;Котловка;;Крымская;Энитео ЖК;;
NF Group - ex-Knight Frank Russia;https://www.cian.ru/sale/flat/274791850/;Москва;sale;flat;3;10;2;176.0;95000000;Арбат;Филипповский переулок;Кропоткинская;Филипповский;;
PEOPLE;https://www.cian.ru/sale/flat/279451146/;Москва;sale;flat;4;23;2;51.0;26900000;Можайский;Гжатская;Давыдково;LIFE-Кутузовский;;
Э.К. Девелопмент;https://www.cian.ru/sale/flat/278491852/;Москва;sale;flat;23;25;2;61.6;25256000;Хорошевский;;Беговая;Авиатика ЖК;;
Hutton Development;https://www.cian.ru/sale/flat/282786901/;Москва;sale;flat;8;8;2;192.9;285588450;Таганский;Славянская площадь;Китай-город;LUMIN;;
Level Group;https://www.cian.ru/sale/flat/285887424/;Москва;sale;flat;2;19;2;36.0;21017494;Академический;Профсоюзная;Академическая;Level Академическая;;
Glincom;https://www.cian.ru/sale/flat/284798245/;Москва;sale;flat;3;8;2;60.2;23779000;Савеловский;Верхняя Масловка;Петровский Парк;Verdi;;
ZAPAD REALTY - офис Маршала Жукова;https://www.cian.ru/sale/flat/285515620/;Москва;sale;flat;10;19;2;70.0;38300000;Хорошево-Мневники;Шелепихинская набережная;Шелепиха;Сердце Столицы;;
А101;https://www.cian.ru/sale/flat/273051521/;Москва;sale;flat;11;16;2;36.9;10493575;;;Прокшино;;;
А101;https://www.cian.ru/sale/flat/277205272/;Москва;sale;flat;13;14;2;66.5;16322599;;;Прокшино;;;
ZAPAD REALTY - офис Маршала Жукова;https://www.cian.ru/sale/flat/286479230/;Москва;sale;flat;2;19;2;75.0;39000000;Хорошево-Мневники;Шелепихинская набережная;Шелепиха;;;
MR Group;https://www.cian.ru/sale/flat/280298917/;Москва;sale;flat;-1;-1;-1;202.0;12935908;Южнопортовый;Волгоградский проспект;Волгоградский проспект;Метрополия;;
РГ-Девелопмент;https://www.cian.ru/sale/flat/280126610/;Москва;sale;flat;2;17;2;65.1;22134000;Савеловский;Старый Петровско-Разумовский проезд;Гражданская;Петровский парк II;;
Никита Кузнецов и Партнеры;https://www.cian.ru/sale/flat/284964306/;Москва;sale;flat;11;12;2;40.0;17200000;Раменки;2-й Мосфильмовский переулок;Кутузовская;;;
NF Group - ex-Knight Frank Russia;https://www.cian.ru/sale/flat/280996957/;Москва;sale;flat;6;53;2;120.8;72000000;Раменки;Мосфильмовская;Парк Победы;Дом на Мосфильмовской;;
А101;https://www.cian.ru/sale/flat/280244802/;Москва;sale;flat;8;18;2;50.2;11258163;;;Улица Горчакова;Дзен-кварталы ЖК;;
Sminex-Интеко;https://www.cian.ru/sale/flat/277014158/;Москва;sale;flat;11;27;2;45.2;17230000;Очаково-Матвеевское;Аминьевское шоссе;Аминьевская;Вестердам;;
Славянский Двор Остоженка;https://www.cian.ru/sale/flat/278743983/;Москва;sale;flat;8;13;4;210.0;99000000;Крылатское;Крылатские Холмы;Крылатское;;;
Sminex-Интеко;https://www.cian.ru/sale/flat/281050946/;Москва;sale;flat;8;8;4;211.8;947230000;Якиманка;;Третьяковская;Лаврушинский ЖК;;
