author;link;city;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;district;street;underground;residential_complex;author_type;price_per_m2
Арт Риэлти;https://www.cian.ru/sale/flat/283808373/;Москва;sale;flat;9;14;5;127.0;74900000;Раменки;проспект Генерала Дорохова;Минская;West Garden;real_estate_agent;589763.0
ID 92808508;https://www.cian.ru/sale/flat/282527288/;Москва;sale;flat;5;6;5;147.2;78000000;Пресненский;Большая Бронная;Тверская;;unknown;529891.0
Ashtons International Realty;https://www.cian.ru/sale/flat/277271284/;Москва;sale;flat;5;28;5;223.0;79000000;Ломоносовский;Архитектора Власова;Профсоюзная;Академдом;real_estate_agent;354260.0
ДОНСТРОЙ;https://www.cian.ru/sale/flat/285256378/;Москва;sale;flat;29;30;5;137.3;81405170;Раменки;Лобачевского;Мичуринский проспект;Событие;developer;592900.0
ГОРОБМЕН;https://www.cian.ru/sale/flat/284808581/;Москва;sale;flat;14;15;5;310.0;82300000;Обручевский;Архитектора Власова;Новые Черёмушки;;real_estate_agent;265483.0
ID 14165082;https://www.cian.ru/sale/flat/283196973/;Москва;sale;flat;6;16;5;195.1;83899000;Хорошевский;Чапаевский переулок;Сокол;Триумф-Палас;realtor;430030.0
Capital Mars;https://www.cian.ru/sale/flat/281953933/;Москва;sale;flat;13;23;5;198.0;84900000;Гагаринский;Ломоносовский проспект;Университет;;real_estate_agent;428787.0
Capital Mars;https://www.cian.ru/sale/flat/281954986/;Москва;sale;flat;2;4;5;137.0;87000000;Басманный;Хохловский переулок;Китай-город;;real_estate_agent;635036.0
GRAND ESTATE - Премиальная недвижимость;https://www.cian.ru/sale/flat/275561451/;Москва;sale;flat;5;5;5;120.0;91737480;Пресненский;Малая Бронная;Тверская;;real_estate_agent;764479.0
ДОНСТРОЙ;https://www.cian.ru/sale/flat/285256376/;Москва;sale;flat;28;30;5;162.8;96019440;Раменки;Лобачевского;Мичуринский проспект;Событие;developer;589800.0
Метриум-Премиум Городская недвижимость;https://www.cian.ru/sale/flat/283850858/;Москва;sale;flat;12;16;5;152.6;99160571;Раменки;Воробьевское шоссе;Студенческая;Воробьёв Дом;real_estate_agent;649807.0
ГОРОБМЕН;https://www.cian.ru/sale/flat/284296733/;Москва;sale;flat;4;6;5;227.0;100000000;Мещанский;Трубная;Сухаревская;;real_estate_agent;440528.0
ID 129432;https://www.cian.ru/sale/flat/282959845/;Москва;sale;flat;22;26;5;189.0;105000000;Черемушки;Херсонская;Зюзино;Розмарин;realtor;555555.0
ID 487896;https://www.cian.ru/sale/flat/284966040/;Москва;sale;flat;2;2;5;263.0;109000000;Покровское-Стрешнево;Ленинградское шоссе;Балтийская;;realtor;414448.0
ID 260935;https://www.cian.ru/sale/flat/279777633/;Москва;sale;flat;4;6;5;125.0;109000000;Пресненский;Трехпрудный переулок;Маяковская;;unknown;872000.0
ГОРОБМЕН;https://www.cian.ru/sale/flat/283578242/;Москва;sale;flat;23;23;5;250.0;146999999;Филевский парк;Кастанаевская;Филевский парк;Изумруд;real_estate_agent;587999.0
BARNES International Realty;https://www.cian.ru/sale/flat/282495691/;Москва;sale;flat;1;5;5;168.4;152895800;Мещанский;переулок Печатников;Трубная;Печатников 12;real_estate_agent;907932.0
Capital Mars;https://www.cian.ru/sale/flat/281955357/;Москва;sale;flat;8;9;5;229.0;154000000;Якиманка;2-й Казачий переулок;Полянка;;real_estate_agent;672489.0
SKYEST;https://www.cian.ru/sale/flat/284762398/;Москва;sale;flat;5;8;5;173.6;155000000;Хамовники;Усачева;Спортивная;Садовые кварталы;real_estate_agent;892857.0
BARNES International Realty;https://www.cian.ru/sale/flat/271355503/;Москва;sale;flat;16;27;5;180.0;160000000;Беговой;Верхняя;Белорусская;Суббота;real_estate_agent;888888.0
Verges of estate;https://www.cian.ru/sale/flat/38352346/;Москва;sale;flat;29;31;5;294.9;168185380;Очаково-Матвеевское;Нежинская;Славянский бульвар;Кутузовская Ривьера;real_estate_agent;570313.0
ID 9502156;https://www.cian.ru/sale/flat/283746483/;Москва;sale;flat;6;17;5;256.0;170000000;Тверской;Лесная;Белорусская;;official_representative;664062.0
Метриум-Премиум Городская недвижимость;https://www.cian.ru/sale/flat/282341935/;Москва;sale;flat;10;10;5;193.3;173970000;Тверской;Палиха;Менделеевская;Клубный дом Maison Rouge;real_estate_agent;900000.0
Capital Mars;https://www.cian.ru/sale/flat/281954819/;Москва;sale;flat;2;7;5;230.0;179999000;Басманный;Подсосенский переулок;Курская;Резиденция Чистые Пруды;real_estate_agent;782604.0
Homeapp;https://www.cian.ru/sale/flat/274034493/;Москва;sale;flat;2;2;5;226.9;180000000;Басманный;Подсосенский переулок;Курская;Резиденция Чистые Пруды;real_estate_agent;793301.0
Mr. Franky Real Estate;https://www.cian.ru/sale/flat/282779956/;Москва;sale;flat;10;11;5;217.3;186900000;Дорогомилово;Кутузовский проспект;;Кутузовский XII;real_estate_agent;860101.0
ID 99875458;https://www.cian.ru/sale/flat/284316353/;Москва;sale;flat;10;11;5;217.3;186900000;Дорогомилово;Кутузовский проспект;Киевская;Кутузовский XII;unknown;860101.0
