author;author_type;link;city;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price_per_m2;price;district;street;underground;residential_complex
Донстрой;developer;https://www.cian.ru/sale/flat/285294644/;Москва;sale;flat;3;9;5;155.4;634500;98601300;Хорошево-Мневники;Жилой комплекс остров;Терехово ;Остров
NF Group - ex-Knight Frank Russia;real_estate_agent;https://www.cian.ru/sale/flat/237135033/;Москва;sale;flat;7;12;5;320.0;1062500;340000000;Тверской;Старопименовский переулок;Маяковская;
ЦАО НЕДВИЖИМОСТЬ;real_estate_agent;https://www.cian.ru/sale/flat/280483420/;Москва;sale;flat;2;5;5;310.0;1129032;350000000;Хамовники;Усачева;Спортивная;Садовые кварталы
VESPER;developer;https://www.cian.ru/sale/flat/272819970/;Москва;sale;flat;21;21;5;387.24;1700000;658308000;Пресненский;Костикова;Улица 1905 года;Lucky
NF Group - ex-Knight Frank Russia;real_estate_agent;https://www.cian.ru/sale/flat/284759259/;Москва;sale;flat;3;6;5;145.8;1268861;185000000;Пресненский;Скатертный переулок;Арбатская;
Capital Group;developer;https://www.cian.ru/sale/flat/284503842/;Москва;sale;flat;58;65;5;153.55;1184500;181879975;Пресненский;Краснопресненская набережная;Выставочная;Capital Towers
MH Group;real_estate_agent;https://www.cian.ru/sale/flat/284849830/;Москва;sale;flat;7;7;5;200.0;600000;120000000;Хамовники;1-й Обыденский переулок;Кропоткинская;
Винидиктов и Партнеры;real_estate_agent;https://www.cian.ru/sale/flat/283488058/;Москва;sale;flat;12;17;5;225.0;577777;130000000;Раменки;Ломоносовский проспект;Университет;Dominion
MH Group;real_estate_agent;https://www.cian.ru/sale/flat/284849853/;Москва;sale;flat;11;12;5;203.3;1273979;259000000;Хамовники;Малая Пироговская;Спортивная;Barrin House
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/280369270/;Москва;sale;flat;8;9;5;257.0;1206225;310000000;Хамовники;Саввинская набережная;Киевская;SAVVIN RIVER RESIDENCE
NF Group - ex-Knight Frank Russia;real_estate_agent;https://www.cian.ru/sale/flat/276310772/;Москва;sale;flat;11;12;5;203.3;1273979;259000000;Хамовники;Малая Пироговская;Фрунзенская;Barrin House
Bespoke Estate;real_estate_agent;https://www.cian.ru/sale/flat/274805207/;Москва;sale;flat;4;33;5;190.0;357894;68000000;Раменки;Мосфильмовская;Ломоносовский проспект;Дом на Мосфильмовской
Bespoke Estate;real_estate_agent;https://www.cian.ru/sale/flat/276055338/;Москва;sale;flat;8;53;5;237.0;354430;84000000;Раменки;Мосфильмовская;Минская;Дом на Мосфильмовской
Ашихмин и партнёры;real_estate_agent;https://www.cian.ru/sale/flat/283876994/;Москва;sale;flat;1;2;5;343.6;1100000;377960000;Тверской;Петровка;Чеховская;
Kalinka Group;real_estate_agent;https://www.cian.ru/sale/flat/273733095/;Москва;sale;flat;8;9;5;257.0;1245136;320000000;Хамовники;Саввинская набережная;Киевская;SAVVIN RIVER RESIDENCE
Дарья Румянцева;realtor;https://www.cian.ru/sale/flat/273823000/;Москва;sale;flat;4;25;5;137.0;551094;75500000;Аэропорт;Ленинградский проспект;Петровский Парк;ВТБ Арена парк
Kalinka Group;real_estate_agent;https://www.cian.ru/sale/flat/277650714/;Москва;sale;flat;2;4;5;217.0;1197801;259922860;Якиманка;1-й Голутвинский переулок;Октябрьская;1-й Голутвинский пер. д. 7
PEOPLE;real_estate_agent;https://www.cian.ru/sale/flat/270183546/;Москва;sale;flat;6;7;5;241.4;850000;205190000;Якиманка;Лаврушинский переулок;Третьяковская;Лаврушинский 11
PEOPLE;real_estate_agent;https://www.cian.ru/sale/flat/283684912/;Москва;sale;flat;14;14;5;308.0;1768182;544600056;Хамовники;Ефремова;Фрунзенская;Садовые кварталы
ЛИДЕР Риэлти - офис Динамо;real_estate_agent;https://www.cian.ru/sale/flat/284929558/;Москва;sale;flat;1;4;5;264.0;200757;53000000;Пресненский;Сытинский тупик;Пушкинская;
NF Group - ex-Knight Frank Russia;real_estate_agent;https://www.cian.ru/sale/flat/284197571/;Москва;sale;flat;28;53;5;297.5;1092436;325000000;Раменки;Мосфильмовская;Кутузовская;Дом на Мосфильмовской
ALVO Group;real_estate_agent;https://www.cian.ru/sale/flat/283404233/;Москва;sale;flat;55;59;5;125.1;371702;46500000;Тимирязевский;Дмитровский проезд;Дмитровская;D1
Kalinka Group;real_estate_agent;https://www.cian.ru/sale/flat/276369416/;Москва;sale;flat;1;8;5;230.0;782608;180000000;Басманный;Подсосенский переулок;Курская;Резиденция Чистые Пруды
ID 413522;realtor;https://www.cian.ru/sale/flat/281345295/;Москва;sale;flat;9;16;5;199.32;834336;166300000;Хамовники;Усачева;Спортивная;Садовые кварталы
PEOPLE;real_estate_agent;https://www.cian.ru/sale/flat/283839934/;Москва;sale;flat;30;37;5;158.0;446139;70490000;Хорошево-Мневники;Шелепихинская набережная;Шелепиха;
Kalinka Group;real_estate_agent;https://www.cian.ru/sale/flat/273491899/;Москва;sale;flat;3;6;5;195.1;763710;149000000;Басманный;переулок Огородная Слобода;Чистые пруды;
Monumental Group;real_estate_agent;https://www.cian.ru/sale/flat/284534380/;Москва;sale;flat;6;7;5;252.0;515873;130000000;Арбат;Большой Афанасьевский переулок;Арбатская;
NF Group - ex-Knight Frank Russia;real_estate_agent;https://www.cian.ru/sale/flat/283449406/;Москва;sale;flat;3;8;5;187.7;796483;149500000;Хамовники;переулок 1-й Тружеников;Киевская;
NF Group - ex-Knight Frank Russia;real_estate_agent;https://www.cian.ru/sale/flat/282635844/;Москва;sale;flat;3;5;5;215.0;728118;156545370;Басманный;Фурманный переулок;Красные ворота;
Времена года;real_estate_agent;https://www.cian.ru/sale/flat/282529717/;Москва;sale;flat;18;21;5;195.46;920904;180000000;Пресненский;Жилой Лаки кв-л;Беговая;Lucky
FS PROPERTY;real_estate_agent;https://www.cian.ru/sale/flat/278892746/;Москва;sale;flat;6;7;5;252.0;515873;130000000;Арбат;Большой Афанасьевский переулок;Арбатская;
GRAND ESTATE - Премиальная недвижимость;real_estate_agent;https://www.cian.ru/sale/flat/282646909/;Москва;sale;flat;4;6;5;123.0;691056;85000000;Арбат;Поварская;Баррикадная;
Kalinka Group;real_estate_agent;https://www.cian.ru/sale/flat/280952118/;Москва;sale;flat;3;10;5;149.1;623742;93000000;Якиманка;Малая Полянка;Полянка;
PEOPLE;real_estate_agent;https://www.cian.ru/sale/flat/281832332/;Москва;sale;flat;18;20;5;126.0;952380;120000000;Пресненский;Мантулинская;Выставочная;City Park
PEOPLE;real_estate_agent;https://www.cian.ru/sale/flat/279838791/;Москва;sale;flat;18;20;5;190.0;650000;123500000;Пресненский;Мантулинская;Выставочная;City Park
Penny Lane Realty Жилая недвижимость;real_estate_agent;https://www.cian.ru/sale/flat/284729952/;Москва;sale;flat;6;7;5;220.0;1181818;260000000;Хамовники;1-й Зачатьевский переулок;Кропоткинская;
FS PROPERTY;real_estate_agent;https://www.cian.ru/sale/flat/283404279/;Москва;sale;flat;7;8;5;206.5;1234866;255000000;Арбат;Большой Афанасьевский переулок;Арбатская;
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/282457605/;Москва;sale;flat;19;36;5;161.0;806832;129900000;Хорошевский;Ленинградский проспект;Аэропорт;Прайм Парк
Gethome;real_estate_agent;https://www.cian.ru/sale/flat/276070707/;Москва;sale;flat;12;14;5;213.0;717820;152895800;Раменки;Мосфильмовская;Ломоносовский проспект;Воробьевы Горы
ЛюксДом;real_estate_agent;https://www.cian.ru/sale/flat/279684183/;Москва;sale;flat;19;36;5;161.0;806832;129900000;Хорошевский;Ленинградский проспект;ЦСКА;Прайм Парк
Sminex-Интеко;developer;https://www.cian.ru/sale/flat/284244430/;Москва;sale;flat;1;3;5;659.4;2436123;1606380000;Якиманка;Большой Толмачевский переулок;Полянка;Дом Лаврушинский
Группа Эталон;developer;https://www.cian.ru/sale/flat/284037588/;Москва;sale;flat;8;27;5;159.2;401425;63907015;Даниловский;;Технопарк;Шагал ЖК
BELFORT;real_estate_agent;https://www.cian.ru/sale/flat/280031666/;Москва;sale;flat;5;9;5;202.0;1633663;330000000;Хамовники;Погодинская;Фрунзенская;GRAND DELUXE на Плющихе
ФСК;developer;https://www.cian.ru/sale/flat/272206919/;Москва;sale;flat;28;29;5;136.6;570800;77971280;Хорошево-Мневники;;Народное Ополчение;Сидней Сити ЖК
Пионер;developer;https://www.cian.ru/sale/flat/279362261/;Москва;sale;flat;5;11;5;188.7;722380;136313294;Даниловский;Дербеневская;Павелецкая;OPUS
Основа;developer;https://www.cian.ru/sale/flat/285082364/;Москва;sale;flat;15;19;5;154.05;1097046;169000001;Красносельский;проспект Академика Сахарова;Красные ворота;RED7
Донстрой;developer;https://www.cian.ru/sale/flat/284634971/;Москва;sale;flat;3;10;5;208.8;850000;177480000;Раменки;Сергея Бондарчука;Раменки;Река
Донстрой;developer;https://www.cian.ru/sale/flat/285255533/;Москва;sale;flat;52;52;5;419.6;920095;386072000;Раменки;Пырьева;Ломоносовский проспект;Дом на Мосфильмовской
ID 413522;realtor;https://www.cian.ru/sale/flat/278848912/;Москва;sale;flat;17;21;5;190.0;910526;173000000;Пресненский;Жилой Лаки кв-л;Беговая;Lucky
Донстрой;developer;https://www.cian.ru/sale/flat/285255542/;Москва;sale;flat;52;52;5;471.5;987534;465622675;Раменки;Пырьева;Ломоносовский проспект;Дом на Мосфильмовской
ID 305348;realtor;https://www.cian.ru/sale/flat/285342847/;Москва;sale;flat;13;57;5;246.2;360861;88844000;Хорошевский;Чапаевский переулок;Сокол;Триумф-Палас
Intermark Real Estate - ранее Savills - городская недвижимость;real_estate_agent;https://www.cian.ru/sale/flat/268292896/;Москва;sale;flat;2;8;5;170.2;575793;98000000;Замоскворечье;Климентовский переулок;Третьяковская;
PEOPLE;real_estate_agent;https://www.cian.ru/sale/flat/278088648/;Москва;sale;flat;9;11;5;270.0;851481;229900000;Тверской;3-я Тверская-Ямская;Маяковская;Тверской
VESPER;developer;https://www.cian.ru/sale/flat/262519723/;Москва;sale;flat;21;21;5;359.44;1410000;506810400;Пресненский;Костикова;Улица 1905 года;Lucky
Century 21 Street Realty;real_estate_agent;https://www.cian.ru/sale/flat/272953894/;Москва;sale;flat;4;33;5;190.0;373684;71000000;Раменки;Мосфильмовская;Выставочная;Дом на Мосфильмовской
Apple Real Estate;real_estate_agent;https://www.cian.ru/sale/flat/281459995/;Москва;sale;flat;16;24;5;180.0;888888;160000000;Беговой;Верхняя;Белорусская;Суббота
Гардтекс;developer;https://www.cian.ru/sale/flat/282397955/;Москва;sale;flat;6;9;5;178.0;1300000;231400000;Хамовники;Саввинская набережная;Киевская;SAVVIN RIVER RESIDENCE
