author;author_type;link;city;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price_per_m2;price;district;street;underground;residential_complex
Группа Эталон;developer;https://www.cian.ru/sale/flat/284037362/;Москва;sale;flat;5;17;4;121.1;386380;46790705;Даниловский;;Технопарк;Шагал ЖК
GRAND ESTATE - Премиальная недвижимость;real_estate_agent;https://www.cian.ru/sale/flat/284659218/;Москва;sale;flat;5;5;4;134.0;410373;54990000;Арбат;Большая Молчановка;Арбатская;
ДОНСТРОЙ;developer;https://www.cian.ru/sale/flat/285256614/;Москва;sale;flat;40;49;4;123.3;460900;56829093;Раменки;Кинематографический кв-л;Мичуринский проспект;Событие-4 ЖК
Аеон-Девелопмент;developer;https://www.cian.ru/sale/flat/275341742/;Москва;sale;flat;34;46;4;147.0;745122;109532938;Дорогомилово;Кутузовский проезд;Фили;River Park Towers Кутузовский
Absolute Premium;developer;https://www.cian.ru/sale/flat/280100763/;Москва;sale;flat;11;17;4;155.9;724868;113007000;Хамовники;Лужнецкая набережная;Воробьёвы горы;Luzhniki Collection
ANT Development;developer;https://www.cian.ru/sale/flat/274568613/;Москва;sale;flat;10;10;4;195.57;1372426;268405544;Дорогомилово;;Парк Победы;Виктори Парк Резиденсез ЖК
ANT Development;developer;https://www.cian.ru/sale/flat/283856154/;Москва;sale;flat;26;32;4;133.9;964175;129103076;Дорогомилово;Поклонная;Парк Победы;Поклонная 9
Пионер;developer;https://www.cian.ru/sale/flat/283969760/;Москва;sale;flat;4;22;4;115.4;325937;37613245;Марьина роща;Полковая;Савёловская;PRIDE
Галс-Девелопмент;developer;https://www.cian.ru/sale/flat/268579027/;Москва;sale;flat;5;5;4;183.1;953000;174494300;Арбат;Поварская;Арбатская;De Luxe квартал апартаментов 
ID 97380778;realtor;https://www.cian.ru/sale/flat/280467483/;Москва;sale;flat;39;58;4;144.0;196527;28300000;Ростокино;проспект Мира;Ростокино;Триколор
NF Group - ex-Knight Frank Russia;real_estate_agent;https://www.cian.ru/sale/flat/277794355/;Москва;sale;flat;8;8;4;303.0;1237623;375000000;Пресненский;Большой Палашевский переулок;Пушкинская;Большой Палашевский 10
Гардтекс;developer;https://www.cian.ru/sale/flat/282397942/;Москва;sale;flat;5;9;4;145.9;1050000;153195000;Хамовники;Саввинская набережная;Киевская;SAVVIN RIVER RESIDENCE
ASTERUS;developer;https://www.cian.ru/sale/flat/284346452/;Москва;sale;flat;10;24;4;113.0;404178;45672114;Покровское-Стрешнево;Летная;Спартак;ÁLIA
NF Group - ex-Knight Frank Russia;real_estate_agent;https://www.cian.ru/sale/flat/280799138/;Москва;sale;flat;4;4;4;203.5;486486;99000000;Мещанский;переулок Печатников;Трубная;Печатников 12
Capital Group;developer;https://www.cian.ru/sale/flat/283844186/;Москва;sale;flat;75;85;4;232.5;762644;177314788;Пресненский;1-й Красногвардейский проезд;Выставочная;МФК ОКО
NF Group - ex-Knight Frank Russia;real_estate_agent;https://www.cian.ru/sale/flat/284847728/;Москва;sale;flat;2;18;4;119.9;742285;89000000;Даниловский;Серпуховский Вал;Тульская;Донской Олимп
Группа Родина;developer;https://www.cian.ru/sale/flat/275410711/;Москва;sale;flat;13;21;4;127.6;460567;58768400;Ростокино;Сельскохозяйственная;Ботанический сад;СОЮЗ
Forma;developer;https://www.cian.ru/sale/flat/278362794/;Москва;sale;flat;19;26;4;126.55;606254;76721570;Пресненский;;Белорусская;Репаблик ЖК
Стадион Спартак;developer;https://www.cian.ru/sale/flat/276650491/;Москва;sale;flat;9;22;4;142.5;610900;87053250;Покровское-Стрешнево;Северо-Западный ао;Спартак;Клубный Город на Реке Примавера ЖК
IKON Development;developer;https://www.cian.ru/sale/flat/284060409/;Москва;sale;flat;21;21;4;189.7;1000000;189700000;Басманный;Земляной Вал;Чкаловская;Дом Chkalov
Regions Development;developer;https://www.cian.ru/sale/flat/281335035/;Москва;sale;flat;15;17;4;120.09;444754;53410525;Преображенское;;Преображенская площадь;Преображенская Площадь ЖК
Донстрой;developer;https://www.cian.ru/sale/flat/285294802/;Москва;sale;flat;4;12;4;160.4;873000;140029200;Раменки;Кинематографический кв-л;Мичуринский проспект;Река ЖК
NF Group - ex-Knight Frank Russia;real_estate_agent;https://www.cian.ru/sale/flat/277663103/;Москва;sale;flat;2;4;4;229.5;2135877;490183934;Хамовники;Пречистенская набережная;Парк Культуры;Кленовый DOM
Valartis Group;developer;https://www.cian.ru/sale/flat/274789013/;Москва;sale;flat;5;8;4;222.5;680000;151300000;Арбат;Арбат;Арбатская;Turandot Residences
Monumental Group;real_estate_agent;https://www.cian.ru/sale/flat/283773215/;Москва;sale;flat;2;5;4;164.4;517031;85000000;Пресненский;Тверской бульвар;Тверская;
Sminex-Интеко;developer;https://www.cian.ru/sale/flat/281686983/;Москва;sale;flat;1;6;4;92.5;1573729;145570000;Басманный;Потаповский переулок;Чистые пруды;Чистые Пруды
