author;author_type;link;city;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price_per_m2;price;district;street;underground;residential_complex
Vesco Realty;real_estate_agent;https://www.cian.ru/sale/flat/285274312/;Москва;sale;flat;5;6;3;160.0;1300000;208000000;Замоскворечье;Садовническая набережная;Новокузнецкая;BALCHUG VIEWPOINT
NF Group - ex-Knight Frank Russia;real_estate_agent;https://www.cian.ru/sale/flat/263382387/;Москва;sale;flat;57;65;3;234.9;917374;215491340;Пресненский;набережная Пресненская;Выставочная;Город Столиц
NF Group - ex-Knight Frank Russia;real_estate_agent;https://www.cian.ru/sale/flat/265207207/;Москва;sale;flat;3;16;3;183.9;1247110;229343700;Арбат;Малый Новопесковский переулок;Смоленская;Дом на Смоленской набережной
Метриум-Премиум Городская недвижимость;real_estate_agent;https://www.cian.ru/sale/flat/284312283/;Москва;sale;flat;2;8;3;195.0;1179487;230000000;Якиманка;Большая Полянка;Полянка;Cloud Nine
Vesco Realty;real_estate_agent;https://www.cian.ru/sale/flat/280461798/;Москва;sale;flat;11;15;3;200.0;1250000;250000000;Хамовники;Саввинская набережная;Фрунзенская;
Gethome;real_estate_agent;https://www.cian.ru/sale/flat/271810442/;Москва;sale;flat;3;6;3;160.0;1625000;260000000;Хамовники;переулок Коробейников;Парк Культуры;Кристалл Хаус
NF Group - ex-Knight Frank Russia;real_estate_agent;https://www.cian.ru/sale/flat/276394501/;Москва;sale;flat;11;12;3;254.1;1070270;271955759;Пресненский;Шведский тупик;Пушкинская;
Century 21 Premium Property;real_estate_agent;https://www.cian.ru/sale/flat/284017557/;Москва;sale;flat;3;6;3;162.0;1790123;290000000;Хамовники;переулок Хилков;Парк Культуры;Особняк в Хилковом переулке
PEOPLE;real_estate_agent;https://www.cian.ru/sale/flat/281880457/;Москва;sale;flat;17;21;3;207.0;1449275;300000000;Пресненский;2-я Звенигородская;Улица 1905 года;Резиденция МОНЭ
TROIKA ESTATE;real_estate_agent;https://www.cian.ru/sale/flat/283652199/;Москва;sale;flat;1;10;3;163.5;2010556;328725970;Пресненский;Гранатный переулок;Баррикадная;
NF Group - ex-Knight Frank Russia;real_estate_agent;https://www.cian.ru/sale/flat/234479051/;Москва;sale;flat;2;6;3;152.0;2363849;359305130;Хамовники;Бутиковский переулок;Парк Культуры;Бутиковский 5
NF Group - ex-Knight Frank Russia;real_estate_agent;https://www.cian.ru/sale/flat/272048304/;Москва;sale;flat;6;12;3;204.6;1911197;391031008;Тверской;Охотный Ряд;Охотный ряд;
Homeapp;real_estate_agent;https://www.cian.ru/sale/flat/260680127/;Москва;sale;flat;2;5;3;224.0;2092761;468778522;Хамовники;Пречистенская набережная;Парк Культуры;Кленовый DOM
Инград;developer;https://www.cian.ru/sale/flat/284859863/;Москва;sale;flat;29;30;3;50.77;360304;18292644;Можайский;Петра Алексеева;Давыдково;КутузовGRAD II
