author;author_type;link;city;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price_per_m2;price;district;street;underground;residential_complex
Homeapp;real_estate_agent;https://www.cian.ru/sale/flat/280562435/;Москва;sale;flat;3;8;3;91.6;1298034;118900000;Тверской;Тверская;Охотный ряд;
Homeapp;real_estate_agent;https://www.cian.ru/sale/flat/265640702/;Москва;sale;flat;7;10;3;178.0;674101;119990000;Пресненский;Климашкина;Улица 1905 года;Панорама
ID 413522;realtor;https://www.cian.ru/sale/flat/283845799/;Москва;sale;flat;9;14;3;151.26;813169;123000000;Хамовники;Усачева;Спортивная;Садовые кварталы
Kalinka Group;real_estate_agent;https://www.cian.ru/sale/flat/276134091/;Москва;sale;flat;3;6;3;83.7;1493428;125000000;Мещанский;Кузнецкий Мост;Кузнецкий мост;Kuznetsky Most 12 by Lalique
Времена года;real_estate_agent;https://www.cian.ru/sale/flat/282863467/;Москва;sale;flat;2;8;3;152.2;834428;127000000;Хамовники;Усачева;Спортивная;Садовые кварталы
SKYEST;real_estate_agent;https://www.cian.ru/sale/flat/253297889/;Москва;sale;flat;7;13;3;135.0;940740;127000000;Пресненский;2-я Черногрязская;Улица 1905 года;RedSide
Homeapp;real_estate_agent;https://www.cian.ru/sale/flat/280502535/;Москва;sale;flat;17;17;3;156.7;829610;130000000;Хамовники;Большой Афанасьевский переулок;Кропоткинская;
Gethome;real_estate_agent;https://www.cian.ru/sale/flat/273404860/;Москва;sale;flat;6;6;3;140.0;928571;130000000;Хамовники;Комсомольский проспект;Спортивная;Clerkenwell House
Vesco Realty;real_estate_agent;https://www.cian.ru/sale/flat/278927143/;Москва;sale;flat;5;7;3;135.0;1022037;137975000;Арбат;Поварская;Арбатская;De Luxe квартал апартаментов 
NF Group - ex-Knight Frank Russia;real_estate_agent;https://www.cian.ru/sale/flat/276109910/;Москва;sale;flat;22;65;3;191.6;756784;145000000;Пресненский;набережная Пресненская;Деловой центр;Город Столиц
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/279430553/;Москва;sale;flat;5;9;3;145.0;1034482;150000000;Хамовники;Саввинская набережная;Киевская;SAVVIN RIVER RESIDENCE
Apple Real Estate;real_estate_agent;https://www.cian.ru/sale/flat/275848013/;Москва;sale;flat;4;9;3;151.8;988142;150000000;Арбат;Гоголевский бульвар;Арбатская;Русский модерн
Valartis Group;developer;https://www.cian.ru/sale/flat/274788990/;Москва;sale;flat;8;8;3;151.5;1000000;151500000;Арбат;Арбат;Арбатская;Turandot Residences
NF Group - ex-Knight Frank Russia;real_estate_agent;https://www.cian.ru/sale/flat/267968237/;Москва;sale;flat;9;57;3;158.0;1064464;168185380;Хорошевский;Чапаевский переулок;Сокол;Триумф-Палас
NF Group - ex-Knight Frank Russia;real_estate_agent;https://www.cian.ru/sale/flat/268222017/;Москва;sale;flat;34;65;3;189.0;922228;174301212;Пресненский;набережная Пресненская;Деловой центр;Город Столиц
NF Group - ex-Knight Frank Russia;real_estate_agent;https://www.cian.ru/sale/flat/266856911/;Москва;sale;flat;14;17;3;169.5;1120943;190000000;Тверской;4-я Тверская-Ямская;Маяковская;
NF Group - ex-Knight Frank Russia;real_estate_agent;https://www.cian.ru/sale/flat/266271379/;Москва;sale;flat;8;11;3;165.8;1146718;190125927;Басманный;Казарменный переулок;Курская;Дом на Покровском бульваре
NF Group - ex-Knight Frank Russia;real_estate_agent;https://www.cian.ru/sale/flat/234469964/;Москва;sale;flat;3;6;3;210.9;948316;200000000;Таганский;Серебряническая набережная;Курская;АртХаус
Vesco Realty;real_estate_agent;https://www.cian.ru/sale/flat/285274312/;Москва;sale;flat;5;6;3;160.0;1300000;208000000;Замоскворечье;Садовническая набережная;Новокузнецкая;BALCHUG VIEWPOINT
NF Group - ex-Knight Frank Russia;real_estate_agent;https://www.cian.ru/sale/flat/263382387/;Москва;sale;flat;57;65;3;234.9;917374;215491340;Пресненский;набережная Пресненская;Деловой центр;Город Столиц
NF Group - ex-Knight Frank Russia;real_estate_agent;https://www.cian.ru/sale/flat/265207207/;Москва;sale;flat;3;16;3;183.9;1247110;229343700;Арбат;Малый Новопесковский переулок;Смоленская;Дом на Смоленской набережной
Метриум-Премиум Городская недвижимость;real_estate_agent;https://www.cian.ru/sale/flat/284312283/;Москва;sale;flat;2;8;3;195.0;1179487;230000000;Якиманка;Большая Полянка;Полянка;Cloud Nine
Valartis Group;developer;https://www.cian.ru/sale/flat/274788010/;Москва;sale;flat;4;5;3;154.7;1560000;241332000;Арбат;Арбат;Смоленская;Artisan
Vesco Realty;real_estate_agent;https://www.cian.ru/sale/flat/280461798/;Москва;sale;flat;11;15;3;200.0;1250000;250000000;Хамовники;Саввинская набережная;Фрунзенская;
Gethome;real_estate_agent;https://www.cian.ru/sale/flat/271810442/;Москва;sale;flat;3;6;3;160.0;1625000;260000000;Хамовники;переулок Коробейников;Парк Культуры;Кристалл Хаус
NF Group - ex-Knight Frank Russia;real_estate_agent;https://www.cian.ru/sale/flat/276394501/;Москва;sale;flat;11;12;3;254.1;1070270;271955759;Пресненский;Шведский тупик;Пушкинская;
Century 21 Premium Property;real_estate_agent;https://www.cian.ru/sale/flat/284017557/;Москва;sale;flat;3;6;3;162.0;1790123;290000000;Хамовники;переулок Хилков;Парк Культуры;Особняк в Хилковом переулке
PEOPLE;real_estate_agent;https://www.cian.ru/sale/flat/281880457/;Москва;sale;flat;17;21;3;207.0;1449275;300000000;Пресненский;2-я Звенигородская;Улица 1905 года;Резиденция МОНЭ
TROIKA ESTATE;real_estate_agent;https://www.cian.ru/sale/flat/283652199/;Москва;sale;flat;1;10;3;163.5;2010556;328725970;Пресненский;Гранатный переулок;Баррикадная;
NF Group - ex-Knight Frank Russia;real_estate_agent;https://www.cian.ru/sale/flat/234479051/;Москва;sale;flat;2;6;3;152.0;2363849;359305130;Хамовники;Бутиковский переулок;Парк Культуры;Бутиковский 5
NF Group - ex-Knight Frank Russia;real_estate_agent;https://www.cian.ru/sale/flat/272048304/;Москва;sale;flat;6;12;3;204.6;1911197;391031008;Тверской;Охотный Ряд;Охотный ряд;
