author;author_type;link;city;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price_per_m2;price;district;street;underground;residential_complex
Донстрой;developer;https://www.cian.ru/sale/flat/285254068/;Москва;sale;flat;7;13;1;29.2;620600;18121520;Хорошево-Мневники;Жилой комплекс остров;Терехово ;Остров
Группа Эталон;developer;https://www.cian.ru/sale/flat/284038143/;Москва;sale;flat;2;14;1;31.6;404076;12768814;Даниловский;;Технопарк;Шагал ЖК
ДОНСТРОЙ;developer;https://www.cian.ru/sale/flat/285256262/;Москва;sale;flat;16;26;1;31.6;511800;16172880;Раменки;Лобачевского;Мичуринский проспект;Событие
Екатерина Ефимова;realtor;https://www.cian.ru/sale/flat/283696971/;Москва;sale;flat;5;6;-1;21.9;194063;4250000;Южнопортовый;Петра Романова;Кожуховская;
Константин Кудрявцев;realtor;https://www.cian.ru/sale/flat/283554552/;Москва;sale;flat;1;17;-1;12.0;312500;3750000;Можайский;Дорогобужская;Кунцевская;
MR Group;developer;https://www.cian.ru/sale/flat/281131862/;Москва;sale;flat;3;15;-1;31.9;593000;18916700;Беговой;Северный ао;Белорусская;Слава ЖК
Аеон-Девелопмент;developer;https://www.cian.ru/sale/flat/274260547/;Москва;sale;flat;8;45;1;35.9;632474;22705831;Дорогомилово;Кутузовский проезд;Фили;River Park Towers Кутузовский
ASTERUS;developer;https://www.cian.ru/sale/flat/279550167/;Москва;sale;flat;14;18;1;34.11;417324;14234922;Покровское-Стрешнево;;Спартак;Алиа ЖК
Forma;developer;https://www.cian.ru/sale/flat/284858916/;Москва;sale;flat;4;26;1;26.86;825302;22167638;Пресненский;;Белорусская;Репаблик ЖК
Forma;developer;https://www.cian.ru/sale/flat/283996608/;Москва;sale;flat;2;20;1;23.8;498405;11862062;Аэропорт;Часовая;Красный Балтиец;SOUL
Группа Эталон;developer;https://www.cian.ru/sale/flat/284037048/;Москва;sale;flat;9;19;-1;25.8;576978;14886034;Замоскворечье;;Павелецкая;Воксхолл ЖК
SHOW ME;real_estate_agent;https://www.cian.ru/sale/flat/284301075/;Москва;sale;flat;12;12;-1;37.0;472972;17500000;Даниловский;Холодильный переулок;Тульская;Play
GRAVION;representative_developer;https://www.cian.ru/sale/flat/284824150/;Москва;sale;flat;2;9;-1;26.9;1044309;28091934;Якиманка;Ленинский проспект;Октябрьская;CULT (Апартаменты премиум-класса)
Hutton Development;developer;https://www.cian.ru/sale/flat/282786909/;Москва;sale;flat;6;8;-1;44.0;856000;37664000;Таганский;Славянская площадь;Китай-город;LUMIN
ФСК;developer;https://www.cian.ru/sale/flat/282208448/;Москва;sale;flat;23;43;1;29.7;384735;11426659;Покровское-Стрешнево;Строительный проезд;;Sky Garden
Hutton Development;developer;https://www.cian.ru/sale/flat/284935696/;Москва;sale;flat;5;8;-1;33.47;597550;20000000;Гагаринский;;Ленинский проспект;Лунар ЖК
ФСК;developer;https://www.cian.ru/sale/flat/273735021/;Москва;sale;flat;5;26;1;42.1;489700;20616370;Хорошево-Мневники;;Хорошёво;Сидней Сити ЖК
ФСК;developer;https://www.cian.ru/sale/flat/280811271/;Москва;sale;flat;3;29;1;27.5;459200;12628000;Нагатино-Садовники;;Нагатинская;Роттердам ЖК
ДСК-1;developer;https://www.cian.ru/sale/flat/279003952/;Москва;sale;flat;2;14;1;28.0;260600;7296800;Молжаниновский;;Водники;Первый Ленинградский ЖК
AFI Development;developer;https://www.cian.ru/sale/flat/285114761/;Москва;sale;flat;13;52;1;20.4;405705;8276382;Свиблово;проезд Серебрякова;Свиблово;Afi Tower
Century 21 Street Realty;real_estate_agent;https://www.cian.ru/sale/flat/285037194/;Москва;sale;flat;19;52;1;29.0;500000;14500000;Раменки;Мичуринский проспект;Раменки;
ID 70726787;realtor;https://www.cian.ru/sale/flat/283854078/;Москва;sale;flat;1;5;-1;12.0;308333;3700000;Текстильщики;Шкулева;Волжская;
Константин Кудрявцев;realtor;https://www.cian.ru/sale/flat/283402591/;Москва;sale;flat;1;17;-1;15.3;279738;4280000;Можайский;Дорогобужская;Кунцевская;
MR Group;developer;https://www.cian.ru/sale/flat/275565528/;Москва;sale;flat;13;36;1;33.2;418558;13896126;Западное Дегунино;Ильменский проезд;Селигерская;Селигер Сити
РГ-Девелопмент;developer;https://www.cian.ru/sale/flat/284832217/;Москва;sale;flat;9;20;1;27.9;314000;8760600;Головинский;Михалковская;Коптево;Михалковский
ID 21874251;realtor;https://www.cian.ru/sale/flat/284617750/;Москва;sale;flat;3;15;-1;33.0;439393;14500000;Хорошевский;Ходынский бульвар;ЦСКА;Лайнер
Группа Родина;developer;https://www.cian.ru/sale/flat/281233979/;Москва;sale;flat;4;13;1;24.9;354032;8815400;;;Ольховая;
Донстрой;developer;https://www.cian.ru/sale/flat/285255506/;Москва;sale;flat;18;41;1;32.3;494525;15973158;Хорошево-Мневники;Шелепихинская набережная;Шелепиха;Сердце Столицы
Э.К. Девелопмент;developer;https://www.cian.ru/sale/flat/284540122/;Москва;sale;flat;19;25;1;22.2;512000;11366400;Хорошевский;;Беговая;Авиатика ЖК
ФСК;developer;https://www.cian.ru/sale/flat/281670151/;Москва;sale;flat;2;12;1;29.1;539494;15699287;Хорошевский;Зорге;Зорге;Рихард
Основа;developer;https://www.cian.ru/sale/flat/285083528/;Москва;sale;flat;3;31;-1;22.98;388200;8920836;Марфино;Ботаническая;Владыкино;VERY
ZIP Realty;real_estate_agent;https://www.cian.ru/sale/flat/281439155/;Москва;sale;flat;2;2;-1;45.0;286666;12900000;Преображенское;Электрозаводская;Преображенская площадь;
А101;developer;https://www.cian.ru/sale/flat/273050528/;Москва;sale;flat;12;16;1;22.0;365818;8048009;;;Улица Скобелевская;
РГ-Девелопмент;developer;https://www.cian.ru/sale/flat/281850126/;Москва;sale;flat;7;9;-1;24.6;237000;5830200;Чертаново Южное;;Аннино;Варшавские Ворота ЖК
А101;developer;https://www.cian.ru/sale/flat/280244638/;Москва;sale;flat;4;18;1;21.7;307650;6676021;;;Улица Горчакова;Дзен-кварталы ЖК
А101;developer;https://www.cian.ru/sale/flat/273053168/;Москва;sale;flat;13;16;1;23.4;336894;7883325;;;Филатов Луг;
Группа Эталон;developer;https://www.cian.ru/sale/flat/285077438/;Москва;sale;flat;5;35;1;27.2;441207;12000855;Даниловский;;Технопарк;Нагатино Ай-Ленд ЖК
РГ-Девелопмент;developer;https://www.cian.ru/sale/flat/280126760/;Москва;sale;flat;16;25;1;23.9;405900;9701010;Савеловский;Старый Петровско-Разумовский проезд;Гражданская;Петровский парк II
Основа;developer;https://www.cian.ru/sale/flat/285084370/;Москва;sale;flat;2;29;-1;28.0;400000;11200000;Фили-Давыдково;Ивана Франко;Кунцевская;MainStreet
РКС Девелопмент;developer;https://www.cian.ru/sale/flat/283844773/;Москва;sale;flat;1;10;-1;20.13;410000;8253300;Даниловский;Автозаводская;Тульская;Апарт-комплекс INSIDER
ФСК;developer;https://www.cian.ru/sale/flat/281670168/;Москва;sale;flat;5;22;-1;27.4;302768;8295860;Покровское-Стрешнево;Северо-Западный ао;Спартак;Движение Тушино ЖК
Доходный дом;developer;https://www.cian.ru/sale/flat/279911029/;Москва;sale;flat;2;23;1;28.2;353929;9980809;Очаково-Матвеевское;;Озёрная;ОМ ЖК
Основа;developer;https://www.cian.ru/sale/flat/285082477/;Москва;sale;flat;4;20;-1;23.99;264000;6333360;Северный;Федора Дубовицкого;Новодачная;ФизтехСити
COLDY;developer;https://www.cian.ru/sale/flat/279636862/;Москва;sale;flat;14;21;-1;17.83;323055;5760088;Нижегородский;;Калитники;Н'айс Лофт ЖК
.Sense;developer;https://www.cian.ru/sale/flat/271240232/;Москва;sale;flat;11;13;-1;34.8;556935;19381348;Даниловский;Подольское шоссе;Тульская;Logos
Основа;developer;https://www.cian.ru/sale/flat/285083771/;Москва;sale;flat;8;28;1;24.1;384000;9254400;Головинский;Михалковская;Коптево;UNO.Головинские пруды
А101;developer;https://www.cian.ru/sale/flat/273049957/;Москва;sale;flat;6;9;1;21.1;372372;7857057;;;Прокшино;
Хлебозавод 9;developer;https://www.cian.ru/sale/flat/278751132/;Москва;sale;flat;2;2;-1;27.0;295000;7965000;Преображенское;Электрозаводская;Преображенская площадь;Апартаменты Берег Яузы
Звездный;developer;https://www.cian.ru/sale/flat/277921292/;Москва;sale;flat;13;22;1;29.9;493289;14749360;Останкинский;проспект Мира;ВДНХ;Сенатор
Prime Life Development;developer;https://www.cian.ru/sale/flat/284307350/;Москва;sale;flat;3;25;1;18.55;508362;9430125;Нагатино-Садовники;Нагатинская;Нагатинская;1-й Нагатинский
А101;developer;https://www.cian.ru/sale/flat/273450185/;Москва;sale;flat;19;23;1;24.1;316531;7628401;Южное Бутово;к1.3;Бунинская аллея;Южные Сады ЖК
Абсолют Недвижимость;representative_developer;https://www.cian.ru/sale/flat/251837263/;Москва;sale;flat;16;23;1;26.4;322659;8518198;Некрасовка;;Некрасовка;Квартал Некрасовка ЖК
Ташир;developer;https://www.cian.ru/sale/flat/264099901/;Москва;sale;flat;2;32;1;45.2;386400;17465280;Черемушки;Херсонская;Калужская;ONYX Deluxe
Ташир;developer;https://www.cian.ru/sale/flat/272333561/;Москва;sale;flat;11;21;-1;34.7;359549;12476385;Очаково-Матвеевское;Аминьевское шоссе;Давыдково;West Tower (Апартаменты бизнес-класса)
Основа;representative_developer;https://www.cian.ru/sale/flat/285084172/;Москва;sale;flat;10;13;-1;32.7;494999;16186500;Замоскворечье;Большой Строченовский переулок;Павелецкая;Резиденции Замоскворечье
St Michael;developer;https://www.cian.ru/sale/flat/283587622/;Москва;sale;flat;9;21;-1;26.87;479243;12877275;Хорошевский;Зорге;Зорге;Зорге 9
Группа Эталон;developer;https://www.cian.ru/sale/flat/284038359/;Москва;sale;flat;26;35;1;89.4;424200;37923480;Раменки;Лобачевского;Аминьевская;Крылья
ДОНСТРОЙ;developer;https://www.cian.ru/sale/flat/285256326/;Москва;sale;flat;23;26;1;28.3;601400;17019620;Раменки;Лобачевского;Мичуринский проспект;Событие
GloraX;developer;https://www.cian.ru/sale/flat/278425438/;Москва;sale;flat;2;21;-1;34.19;498391;17039999;Беговой;1-я Ямского Поля;Белорусская;Глоракс Премиум Белорусская
МИЦ;developer;https://www.cian.ru/sale/flat/266531049/;Москва;sale;flat;18;22;-1;34.1;302539;10316580;Хорошевский;1-я Магистральная;Хорошёвская;Сити-комплекс Мята
МИЦ;developer;https://www.cian.ru/sale/flat/270577279/;Москва;sale;flat;15;17;1;29.7;290100;8615970;;;Ольховая;
ALVO Group;real_estate_agent;https://www.cian.ru/sale/flat/284399398/;Москва;sale;flat;2;6;-1;20.0;470000;9400000;Таганский;2-й Гончарный переулок;Таганская;
ПИК;developer;https://www.cian.ru/sale/flat/280620440/;Москва;sale;flat;27;28;-1;26.5;324900;8609850;Щукино;Волоколамское шоссе;Стрешнево;Волоколамское 24
Новые Ватутинки;developer;https://www.cian.ru/sale/flat/282738141/;Москва;sale;flat;1;8;1;22.2;261900;5814180;;;Ольховая;
Новые Ватутинки;developer;https://www.cian.ru/sale/flat/282733743/;Москва;sale;flat;2;14;1;29.4;207360;6096384;;;Ольховая;
GloraX;developer;https://www.cian.ru/sale/flat/278425437/;Москва;sale;flat;2;21;-1;35.5;489295;17369999;Беговой;1-я Ямского Поля;Белорусская;Глоракс Премиум Белорусская
Основа;developer;https://www.cian.ru/sale/flat/285082018/;Москва;sale;flat;4;29;-1;24.1;350600;8449460;Черемушки;Наметкина;Новые Черёмушки;Nametkin Tower
Группа Эталон;developer;https://www.cian.ru/sale/flat/284392949/;Москва;sale;flat;19;24;1;24.7;430051;10622269;Дмитровский;Дмитровское шоссе;Яхромская;Летний сад
А101;developer;https://www.cian.ru/sale/flat/279343022/;Москва;sale;flat;2;19;1;24.1;285661;6884440;;;Бунинская аллея;
Самолет;developer;https://www.cian.ru/sale/flat/281358346/;Москва;sale;flat;2;14;-1;26.4;368625;9731715;Можайский;к4.2;Давыдково;Верейская 41 ЖК
Самолет;developer;https://www.cian.ru/sale/flat/272352208/;Москва;sale;flat;4;14;-1;26.6;376440;10013318;Можайский;к4.2;Давыдково;Верейская 41 ЖК
ФСК;developer;https://www.cian.ru/sale/flat/278664210/;Москва;sale;flat;9;15;-1;24.72;319650;7901748;;;Саларьево;
Абсолют Недвижимость;developer;https://www.cian.ru/sale/flat/283704021/;Москва;sale;flat;15;17;1;29.3;310708;9103771;;;Рассказовка;
СПЕЦСТРОЙ-1;developer;https://www.cian.ru/sale/flat/284739242/;Москва;sale;flat;6;13;-1;25.28;556200;14060736;Дорогомилово;Поклонная;Кутузовская;Поклонная No. 7
ASTERUS;developer;https://www.cian.ru/sale/flat/274202205/;Москва;sale;flat;2;25;1;26.17;409522;10717191;Покровское-Стрешнево;;Спартак;Алиа ЖК
