author;author_type;link;city;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price_per_m2;price;district;street;underground;residential_complex
Homeapp;real_estate_agent;https://www.cian.ru/sale/flat/284808202/;Москва;sale;flat;11;12;2;52.0;326903;16999000;Басманный;Бакунинская;Бауманская;
Homeapp;real_estate_agent;https://www.cian.ru/sale/flat/281451566/;Москва;sale;flat;10;28;2;0.6;28333333;17000000;Лефортово;проезд Невельского;Авиамоторная;Символ
Homeapp;real_estate_agent;https://www.cian.ru/sale/flat/280852409/;Москва;sale;flat;19;24;2;55.2;307065;16950000;Бабушкинский;Печорская;Бабушкинская;
Homeapp;real_estate_agent;https://www.cian.ru/sale/flat/283801865/;Москва;sale;flat;8;9;2;60.0;286666;17200000;Преображенское;Большая Черкизовская;Преображенская площадь;
Владис;real_estate_agent;https://www.cian.ru/sale/flat/284602942/;Москва;sale;flat;11;25;2;55.4;310469;17200000;Марьино;Перерва;Братиславская;
Владис;real_estate_agent;https://www.cian.ru/sale/flat/283760037/;Москва;sale;flat;7;12;2;52.5;333333;17500000;Савеловский;2-я Квесисская;Савёловская;
Homeapp;real_estate_agent;https://www.cian.ru/sale/flat/284897172/;Москва;sale;flat;2;17;2;66.0;265151;17500000;Нагатино-Садовники;Нагатинская набережная;Коломенская;
Homeapp;real_estate_agent;https://www.cian.ru/sale/flat/285289097/;Москва;sale;flat;23;26;2;42.0;423809;17800000;Головинский;Кронштадтский бульвар;Водный стадион;Водный
ЕГСН Продажа;real_estate_agent;https://www.cian.ru/sale/flat/271033812/;Москва;sale;flat;9;17;2;45.3;397350;18000000;Хамовники;Смоленский бульвар;Парк Культуры;
Century 21 Premium Property;real_estate_agent;https://www.cian.ru/sale/flat/278966454/;Москва;sale;flat;22;22;2;38.0;472368;17950000;Хорошево-Мневники;3-я Хорошевская;Зорге;Хорошевский
Homeapp;real_estate_agent;https://www.cian.ru/sale/flat/283611391/;Москва;sale;flat;4;22;2;57.1;315236;18000000;Ломоносовский;Академика Пилюгина;Новаторская;
Метриум-Премиум Городская недвижимость;real_estate_agent;https://www.cian.ru/sale/flat/281519750/;Москва;sale;flat;16;21;2;37.5;480000;18000000;Хорошево-Мневники;Мневники;Хорошёво;Городской квартал BIG TIME
CENTURY 21;real_estate_agent;https://www.cian.ru/sale/flat/284507971/;Москва;sale;flat;2;22;2;50.4;359126;18100000;Фили-Давыдково;Малая Филевская;Пионерская;
Ключи;real_estate_agent;https://www.cian.ru/sale/flat/284900204/;Москва;sale;flat;18;25;2;68.0;269117;18300000;Обручевский;Ленинский проспект;Проспект Вернадского;
Homeapp;real_estate_agent;https://www.cian.ru/sale/flat/284136751/;Москва;sale;flat;16;16;2;54.0;340740;18400000;Басманный;Фридриха Энгельса;Бауманская;
ЕГСН Продажа;real_estate_agent;https://www.cian.ru/sale/flat/272945994/;Москва;sale;flat;5;5;2;60.0;308333;18500000;Донской;Орджоникидзе;Ленинский проспект;
Этажи Москва;real_estate_agent;https://www.cian.ru/sale/flat/282868672/;Москва;sale;flat;29;37;2;61.3;301794;18500000;Левобережный;Ленинградское шоссе;Беломорская;
Homeapp;real_estate_agent;https://www.cian.ru/sale/flat/284133663/;Москва;sale;flat;7;7;2;57.0;324561;18500000;Войковский;Ленинградское шоссе;Войковская;
ФСК Агент;real_estate_agent;https://www.cian.ru/sale/flat/285229994/;Москва;sale;flat;27;44;2;43.4;433179;18800000;Хорошево-Мневники;Шеногина;Шелепиха;Сердце Столицы
Chase R.E.S.;real_estate_agent;https://www.cian.ru/sale/flat/280754088/;Москва;sale;flat;21;28;2;72.0;259722;18700000;Ховрино;Флотская;Речной вокзал;Апарт-комплекс Флотилия
Homeapp;real_estate_agent;https://www.cian.ru/sale/flat/283844656/;Москва;sale;flat;4;14;2;54.0;348148;18800000;Хорошево-Мневники;Мневники;Хорошёво;
Estes;real_estate_agent;https://www.cian.ru/sale/flat/283815323/;Москва;sale;flat;5;8;2;47.0;400000;18800000;Раменки;Университетский проспект;Ломоносовский проспект;
Homeapp;real_estate_agent;https://www.cian.ru/sale/flat/284756075/;Москва;sale;flat;2;9;2;42.9;442890;19000000;Басманный;Казакова;Курская;KAZAKOV Grand Loft
Homeapp;real_estate_agent;https://www.cian.ru/sale/flat/277655026/;Москва;sale;flat;5;12;2;60.7;311367;18900000;Донской;Варшавское шоссе;Тульская;
Навигатор;real_estate_agent;https://www.cian.ru/sale/flat/285016810/;Москва;sale;flat;25;31;2;44.0;429545;18900000;Богородское;Тюменский проезд;Бульвар Рокоссовского;Преображение
Homeapp;real_estate_agent;https://www.cian.ru/sale/flat/284977968/;Москва;sale;flat;1;7;2;72.5;262068;19000000;Филевский парк;Большая Филевская;Багратионовская;
Homeapp;real_estate_agent;https://www.cian.ru/sale/flat/283685430/;Москва;sale;flat;2;8;2;56.0;339285;19000000;Аэропорт;Усиевича;Сокол;
ID 71593;realtor;https://www.cian.ru/sale/flat/282744872/;Москва;sale;flat;1;3;2;80.0;237500;19000000;;;Ольховая;
Homeapp;real_estate_agent;https://www.cian.ru/sale/flat/284492089/;Москва;sale;flat;18;27;2;50.4;386904;19500000;Хорошевский;Зорге;Зорге;Рихард
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/279147797/;Москва;sale;flat;30;52;2;54.3;361510;19630000;Раменки;проспект Генерала Дорохова;Минская;Will Towers
Homeapp;real_estate_agent;https://www.cian.ru/sale/flat/284500852/;Москва;sale;flat;4;21;2;55.0;363272;19980000;Хорошевский;Зорге;Хорошёво;Зорге 9
Homeapp;real_estate_agent;https://www.cian.ru/sale/flat/282972448/;Москва;sale;flat;6;9;2;55.5;357657;19850000;Щукино;Маршала Рыбалко;Панфиловская;Маршал
Homeapp;real_estate_agent;https://www.cian.ru/sale/flat/283355199/;Москва;sale;flat;11;28;2;57.0;349122;19900000;Хорошево-Мневники;Шелепихинская набережная;Хорошёво;FreeDOM
Homeapp;real_estate_agent;https://www.cian.ru/sale/flat/283877508/;Москва;sale;flat;4;7;2;56.6;353356;20000000;Басманный;Нижняя Красносельская;Бауманская;Kleinhouse
Homeapp;real_estate_agent;https://www.cian.ru/sale/flat/284989219/;Москва;sale;flat;13;18;2;50.0;400000;20000000;Митино;Муравская;Пятницкое шоссе;Мир Митино
Homeapp;real_estate_agent;https://www.cian.ru/sale/flat/285035495/;Москва;sale;flat;13;17;2;51.8;386100;20000000;Таганский;Новорогожская;Римская;
Homeapp;real_estate_agent;https://www.cian.ru/sale/flat/284103479/;Москва;sale;flat;11;26;2;66.0;303030;20000000;Лефортово;Красноказарменная;Лефортово;Красноказарменная 15
