author;author_type;link;city;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price_per_m2;price;district;street;underground;residential_complex
ПИК;developer;https://www.cian.ru/sale/flat/281172486/;Москва;sale;flat;13;25;2;48.5;198450;9624825;Крюково;Зеленоград;Пятницкое шоссе;Зеленый Парк ЖК
ID 25085;realtor;https://www.cian.ru/sale/flat/285316601/;Москва;sale;flat;15;18;2;53.0;181132;9600000;Некрасовка;Вертолетчиков;Некрасовка;мой адрес На Вертолетчиков
ID 16594271;unknown;https://www.cian.ru/sale/flat/282721856/;Москва;sale;flat;1;12;2;38.5;249090;9590000;Новогиреево;Зеленый проспект;Новогиреево;
Dream Realty;real_estate_agent;https://www.cian.ru/sale/flat/283558768/;Москва;sale;flat;13;14;2;60.2;160299;9650000;Южное Бутово;Маршала Савицкого;Щербинка;
Ваш гарант;real_estate_agent;https://www.cian.ru/sale/flat/285078597/;Москва;sale;flat;3;3;2;53.5;181308;9700000;;;;
Dream Realty;real_estate_agent;https://www.cian.ru/sale/flat/284750219/;Москва;sale;flat;13;17;2;51.2;189453;9700000;Останкинский;Березовая аллея;Ботанический сад;Апарт-комплекс Легендарный квартал
ID 7254130;unknown;https://www.cian.ru/sale/flat/283959878/;Москва;sale;flat;9;12;2;41.0;236585;9700000;Можайский;Сколковское шоссе;Молодежная;Stellar City
Татьяна Филатова;realtor;https://www.cian.ru/sale/flat/284203405/;Москва;sale;flat;9;12;2;37.8;256613;9700000;Рязанский;Шатурская;Стахановская;
Premium Realty;real_estate_agent;https://www.cian.ru/sale/flat/283996490/;Москва;sale;flat;4;5;2;38.6;253886;9800000;Гольяново;Амурская;Черкизовская;Level Амурская
Новые Ватутинки;developer;https://www.cian.ru/sale/flat/282613153/;Москва;sale;flat;3;14;2;54.5;180360;9829620;;;Ольховая;
ПИК;developer;https://www.cian.ru/sale/flat/281668759/;Москва;sale;flat;2;32;2;46.2;211680;9779616;Митино;Северо-Западный ао;Пятницкое шоссе;Митинский Лес ЖК
ID 13345006;realtor;https://www.cian.ru/sale/flat/283721212/;Москва;sale;flat;4;7;2;55.1;177858;9800000;;;Филатов Луг;
светлана мусатова;realtor;https://www.cian.ru/sale/flat/285156491/;Москва;sale;flat;6;9;2;38.0;260526;9900000;Измайлово;9-я Парковая;Первомайская;
Самолет;developer;https://www.cian.ru/sale/flat/278393204/;Москва;sale;flat;11;14;2;40.4;244556;9880100;Молжаниновский;Северный ао;Водники;Молжаниново ЖК
Этажи Москва;real_estate_agent;https://www.cian.ru/sale/flat/281509823/;Москва;sale;flat;1;5;2;42.9;230769;9900000;Южнопортовый;Трофимова;Автозаводская;
ID 6778996;unknown;https://www.cian.ru/sale/flat/285084625/;Москва;sale;flat;6;9;2;44.6;221973;9900000;Вешняки;Молдагуловой;Выхино;
Дмитрий Таращук;realtor;https://www.cian.ru/sale/flat/283320492/;Москва;sale;flat;3;9;2;34.4;287790;9900000;Текстильщики;1-я Текстильщиков;Текстильщики;
METRAGE;real_estate_agent;https://www.cian.ru/sale/flat/284133913/;Москва;sale;flat;1;9;2;44.8;222098;9950000;Ясенево;Голубинская;Ясенево;
Этажи Москва;real_estate_agent;https://www.cian.ru/sale/flat/279080854/;Москва;sale;flat;1;12;2;47.0;212553;9990000;Орехово-Борисово Северное;Ореховый бульвар;Домодедовская;
ЕГСН Продажа;real_estate_agent;https://www.cian.ru/sale/flat/272386068/;Москва;sale;flat;2;14;2;52.4;189885;9950000;Бирюлево Западное;Харьковская;Пражская;
ПИК;developer;https://www.cian.ru/sale/flat/283568107/;Москва;sale;flat;7;21;2;34.6;288315;9975733;Очаково-Матвеевское;к2.5;Озёрная;Мичуринский Парк ЖК
Монолит Столица;real_estate_agent;https://www.cian.ru/sale/flat/275301812/;Москва;sale;flat;19;19;2;64.5;154883;9990000;;;Рассказовка;
Татьяна Попова;realtor;https://www.cian.ru/sale/flat/246941417/;Москва;sale;flat;6;14;2;52.6;190114;9999999;;;;
Дмитрий Копылов;realtor;https://www.cian.ru/sale/flat/283931611/;Москва;sale;flat;6;17;2;53.9;185528;10000000;;;Ольховая;
ID 18371897;unknown;https://www.cian.ru/sale/flat/284609624/;Москва;sale;flat;9;14;2;48.9;204294;9990000;Люблино;Ставропольская;Волжская;
ID 87005682;unknown;https://www.cian.ru/sale/flat/284867471/;Москва;sale;flat;9;9;2;45.3;219646;9950000;Печатники;Шоссейная;Печатники;
Концерн РУСИЧ;developer;https://www.cian.ru/sale/flat/284531687/;Москва;sale;flat;3;32;2;39.0;259000;10101000;Царицыно;;Кантемировская;Кавказский Бульвар 51 ЖК
Макспол Парк Культуры;real_estate_agent;https://www.cian.ru/sale/flat/283708853/;Москва;sale;flat;5;9;2;44.5;226966;10100000;Дмитровский;Дмитровское шоссе;Марк;
Монолит Столица;real_estate_agent;https://www.cian.ru/sale/flat/283051261/;Москва;sale;flat;6;9;2;38.0;265789;10100000;Нагорный;Черноморский бульвар;Чертановская;
ID 13474190;realtor;https://www.cian.ru/sale/flat/282494288/;Москва;sale;flat;5;12;2;39.0;257692;10050000;Солнцево;Попутная;Солнцево;
ПИК;developer;https://www.cian.ru/sale/flat/278390971/;Москва;sale;flat;13;24;2;32.2;316300;10184860;Бабушкинский;;Свиблово;Кольская 8 ЖК
Самолет;developer;https://www.cian.ru/sale/flat/283844436/;Москва;sale;flat;1;5;2;44.4;230206;10221161;;;Рассказовка;
Андрей Голицын;realtor;https://www.cian.ru/sale/flat/283660645/;Москва;sale;flat;1;4;2;46.0;221739;10200000;Можайский;Сколковское шоссе;Сетунь;
Этажи Москва;real_estate_agent;https://www.cian.ru/sale/flat/283721067/;Москва;sale;flat;10;12;2;38.3;266318;10200000;Зюзино;Перекопская;Зюзино;
ОГРК;real_estate_agent;https://www.cian.ru/sale/flat/284354553/;Москва;sale;flat;10;12;2;48.0;212500;10200000;Можайский;Сколковское шоссе;Немчиновка;Stellar City
ФСК Агент;real_estate_agent;https://www.cian.ru/sale/flat/284393880/;Москва;sale;flat;10;14;2;43.8;231735;10150000;Молжаниновский;Ленинградское шоссе;Планерная;Первый Ленинградский
Екатерина Чистякова;realtor;https://www.cian.ru/sale/flat/283637350/;Москва;sale;flat;2;9;2;45.0;226666;10200000;Орехово-Борисово Южное;Воронежская;Зябликово;
Ираида Селиванова;realtor;https://www.cian.ru/sale/flat/283509339/;Москва;sale;flat;4;9;2;45.0;226666;10200000;Чертаново Северное;Чертановская;Чертановская;
ПИК;developer;https://www.cian.ru/sale/flat/284669895/;Москва;sale;flat;4;17;2;59.6;173300;10328680;;;Щербинка;Юнино ЖК
Жанна Пойтина;realtor;https://www.cian.ru/sale/flat/284549215/;Москва;sale;flat;7;12;2;38.0;271052;10299990;Новогиреево;Фрязевская;Новогиреево;
ID 136630;unknown;https://www.cian.ru/sale/flat/284043437/;Москва;sale;flat;3;9;2;44.0;234090;10300000;Вешняки;Кетчерская;Новогиреево;
Бест офис на Таганской;real_estate_agent;https://www.cian.ru/sale/flat/284938905/;Москва;sale;flat;2;12;2;44.8;232120;10399000;Кузьминки;Шумилова;Кузьминки;
ID 12449602;unknown;https://www.cian.ru/sale/flat/284065046/;Москва;sale;flat;8;9;2;45.0;230000;10350000;Чертаново Северное;Сумской проезд;Южная;
ID 75018243;unknown;https://www.cian.ru/sale/flat/283725517/;Москва;sale;flat;4;7;2;56.0;184821;10350000;;;Филатов Луг;
ПЕРСПЕКТИВА24-ЮГО-ЗАПАД;real_estate_agent;https://www.cian.ru/sale/flat/285036489/;Москва;sale;flat;6;9;2;44.5;234831;10450000;Текстильщики;Грайвороновская;Текстильщики;
ТСН Владис;real_estate_agent;https://www.cian.ru/sale/flat/281920505/;Москва;sale;flat;5;9;2;37.7;278514;10500000;Марфино;Малая Ботаническая;Фонвизинская;
А101;developer;https://www.cian.ru/sale/flat/280245384/;Москва;sale;flat;4;10;2;41.5;254108;10545510;;;Улица Горчакова;Дзен-кварталы ЖК
ЛэндЛ;real_estate_agent;https://www.cian.ru/sale/flat/283081448/;Москва;sale;flat;2;5;2;41.2;254854;10500000;Покровское-Стрешнево;Свободы;Тушинская;
Николай Михайлов;realtor;https://www.cian.ru/sale/flat/285307199/;Москва;sale;flat;14;17;2;51.0;205882;10500000;Новокосино;Городецкая;Новокосино;
Артем Данилов;realtor;https://www.cian.ru/sale/flat/280031484/;Москва;sale;flat;15;18;2;62.8;167197;10500000;;;Остафьево;
PROНЕДВИЖИМОСТЬ;real_estate_agent;https://www.cian.ru/sale/flat/285078825/;Москва;sale;flat;4;9;2;45.5;230769;10500000;Нижегородский;3-я Карачаровская;Нижегородская;
ОГРК;real_estate_agent;https://www.cian.ru/sale/flat/284408216/;Москва;sale;flat;7;12;2;38.6;272020;10500000;Очаково-Матвеевское;Елены Колесовой;Озёрная;
ID 12697364;unknown;https://www.cian.ru/sale/flat/276551094/;Москва;sale;flat;10;12;2;44.3;237020;10500000;;;;
ID 390101;realtor;https://www.cian.ru/sale/flat/281855495/;Москва;sale;flat;1;4;2;44.0;238636;10500000;Печатники;3-я Курьяновская;Перерва;
ID 841867;unknown;https://www.cian.ru/sale/flat/278265864/;Москва;sale;flat;5;9;2;41.5;253012;10500000;Богородское;Миллионная;Бульвар Рокоссовского;
ID 11627509;realtor;https://www.cian.ru/sale/flat/281765420/;Москва;sale;flat;10;13;2;39.9;263157;10500000;;;Прокшино;
ПИК;developer;https://www.cian.ru/sale/flat/270780594/;Москва;sale;flat;26;27;2;32.7;324200;10601340;Нижегородский;к2.1;Нижегородская;Перовское 2 ЖК
ПИК;developer;https://www.cian.ru/sale/flat/284563066/;Москва;sale;flat;2;33;2;34.4;307600;10581440;Очаково-Матвеевское;;Аминьевская;Большая Очаковская 2 ЖК
Надежда Загородняя;realtor;https://www.cian.ru/sale/flat/282344946/;Москва;sale;flat;11;14;2;50.0;212000;10600000;;;;
ID 77979368;unknown;https://www.cian.ru/sale/flat/279399281/;Москва;sale;flat;11;12;2;42.0;252380;10600000;Ховрино;Зеленоградская;Ховрино;
Монолит Столица;real_estate_agent;https://www.cian.ru/sale/flat/282635407/;Москва;sale;flat;5;5;2;42.7;250351;10690000;Южное Тушино;Фабрициуса;Сходненская;
Проект-Сервис;real_estate_agent;https://www.cian.ru/sale/flat/282904325/;Москва;sale;flat;4;12;2;38.1;280839;10700000;Рязанский;4-й Вешняковский проезд;Рязанский проспект;
Надежда Говорухина;realtor;https://www.cian.ru/sale/flat/284572775/;Москва;sale;flat;1;12;2;44.7;241387;10790000;Нагатинский затон;Затонная;Кленовый бульвар;
Елена Максимченко;realtor;https://www.cian.ru/sale/flat/284617500/;Москва;sale;flat;6;9;2;44.0;245454;10800000;Текстильщики;Малышева;Волжская;
Абсолют Недвижимость;developer;https://www.cian.ru/sale/flat/280687712/;Москва;sale;flat;1;9;2;56.8;189964;10789964;;;Рассказовка;
ID 311;realtor;https://www.cian.ru/sale/flat/277752195/;Москва;sale;flat;8;9;2;45.0;240000;10800000;Ясенево;Голубинская;Ясенево;
ID 96675349;homeowner;https://www.cian.ru/sale/flat/285336749/;Москва;sale;flat;8;9;2;45.0;240000;10800000;Гольяново;Новосибирская;Щелковская;
ID 645279;unknown;https://www.cian.ru/sale/flat/285296861/;Москва;sale;flat;5;12;2;37.6;287234;10800000;Преображенское;Большая Черкизовская;Преображенская площадь;
ID 17286937;unknown;https://www.cian.ru/sale/flat/284057470/;Москва;sale;flat;3;5;2;45.1;239467;10800000;Кузьминки;Волгоградский проспект;Кузьминки;
Этажи Москва;real_estate_agent;https://www.cian.ru/sale/flat/284544229/;Москва;sale;flat;18;21;2;38.5;284415;10950000;Нижегородский;Автомобильный проезд;Волгоградский проспект;N’ice Loft
Дмитрий Каредва;realtor;https://www.cian.ru/sale/flat/282283546/;Москва;sale;flat;1;15;2;51.9;211946;11000000;Царицыно;Кавказский бульвар;Кантемировская;
ПИК;developer;https://www.cian.ru/sale/flat/278639008/;Москва;sale;flat;4;17;2;44.0;251800;11079200;Текстильщики;Юго-Восточный ао;Текстильщики;Волжский Парк ЖК
Максим Ржанов;realtor;https://www.cian.ru/sale/flat/284736944/;Москва;sale;flat;4;9;2;45.2;243362;11000000;Левобережный;Смольная;Беломорская;
Татьяна Тимаева;realtor;https://www.cian.ru/sale/flat/284043374/;Москва;sale;flat;6;15;2;45.2;243362;11000000;;;;
Dream Realty;real_estate_agent;https://www.cian.ru/sale/flat/284412552/;Москва;sale;flat;6;9;2;41.8;263157;11000000;Хорошево-Мневники;Паршина;Октябрьское поле;
Монолит Столица;real_estate_agent;https://www.cian.ru/sale/flat/282770110/;Москва;sale;flat;2;17;2;54.1;203327;11000000;Южное Бутово;Маршала Савицкого;Щербинка;
ПЕРСПЕКТИВА24-ЮГО-ЗАПАД;real_estate_agent;https://www.cian.ru/sale/flat/283213028/;Москва;sale;flat;12;17;2;52.0;211538;11000000;;;Филатов Луг;
ОГРК;real_estate_agent;https://www.cian.ru/sale/flat/282576226/;Москва;sale;flat;1;14;2;45.5;241758;11000000;Можайский;Толбухина;Сетунь;
Место;real_estate_agent;https://www.cian.ru/sale/flat/280460562/;Москва;sale;flat;1;17;2;56.3;195381;11000000;Чертаново Южное;Россошанская;Улица Академика Янгеля;
