author;author_type;link;city;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price_per_m2;price;district;street;underground;residential_complex
ПИК;developer;https://www.cian.ru/sale/flat/283354227/;Москва;sale;flat;2;9;1;32.2;178317;5741839;;;Филатов Луг;Середневский Лес ЖК
ID 66033005;unknown;https://www.cian.ru/sale/flat/284856494/;Москва;sale;flat;8;13;1;22.6;256637;5800000;;;Щербинка;
ID 245566;realtor;https://www.cian.ru/sale/flat/282994088/;Москва;sale;flat;1;5;1;29.2;205136;5990000;Бабушкинский;Летчика Бабушкина;Бабушкинская;
Favorite City;real_estate_agent;https://www.cian.ru/sale/flat/277859792/;Москва;sale;flat;4;4;1;40.1;147132;5900000;;;Прокшино;
Центральный Департамент Недвижимости;real_estate_agent;https://www.cian.ru/sale/flat/277996523/;Москва;sale;flat;1;4;1;28.6;206293;5900000;;;Филатов Луг;
ID 10472854;realtor;https://www.cian.ru/sale/flat/282200706/;Москва;sale;flat;2;5;1;20.0;299950;5999000;Марфино;Гостиничная;Владыкино;Апартаменты Алтай
ПИК;developer;https://www.cian.ru/sale/flat/283354161/;Москва;sale;flat;5;9;1;34.16;178035;6081709;;;Филатов Луг;Середневский Лес ЖК
НДВ;real_estate_agent;https://www.cian.ru/sale/flat/284640833/;Москва;sale;flat;1;3;1;35.4;175141;6200000;;;;
Самолет Плюс Москва Сити;real_estate_agent;https://www.cian.ru/sale/flat/284872405/;Москва;sale;flat;6;8;1;21.0;299523;6290000;Аэропорт;Большой Коптевский проезд;;
ID 80301916;realtor;https://www.cian.ru/sale/flat/279762387/;Москва;sale;flat;3;5;1;14.7;423809;6230000;Богородское;Ивантеевская;Бульвар Рокоссовского;
ID 93228967;unknown;https://www.cian.ru/sale/flat/283497847/;Москва;sale;flat;3;5;1;20.5;307317;6299999;Марфино;Гостиничная;Окружная;
ПИК;developer;https://www.cian.ru/sale/flat/283354176/;Москва;sale;flat;9;9;1;35.98;175403;6311035;;;Филатов Луг;Середневский Лес ЖК
АНПЛАНЕТА;real_estate_agent;https://www.cian.ru/sale/flat/284896616/;Москва;sale;flat;2;5;1;29.0;217241;6300000;;;Прокшино;
Самолет;developer;https://www.cian.ru/sale/flat/278990880/;Москва;sale;flat;10;14;1;32.3;197300;6372808;;;Улица Горчакова;
Level Group;developer;https://www.cian.ru/sale/flat/284905718/;Москва;sale;flat;14;30;1;18.6;341543;6352704;Западное Дегунино;Северный ао;Селигерская;Левел Селигерская ЖК
Андрей Новиков;realtor;https://www.cian.ru/sale/flat/283894106/;Москва;sale;flat;7;9;1;32.8;193597;6350000;Матушкино;Зеленоград;Ховрино;
ПИК;developer;https://www.cian.ru/sale/flat/284549901/;Москва;sale;flat;3;11;1;31.7;204623;6486580;Крюково;Зеленоград;Пятницкое шоссе;Зеленый Парк ЖК
