author;author_type;link;city;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price_per_m2;price;district;street;underground;residential_complex
Группа Эталон;developer;https://www.cian.ru/sale/flat/283964601/;Москва;sale;flat;4;35;1;39.6;399113;15804901;Даниловский;;Технопарк;Нагатино Ай-Ленд ЖК
Евгений Онегин;realtor;https://www.cian.ru/sale/flat/284611097/;Москва;sale;flat;12;22;1;42.0;377380;15850000;Алексеевский;Староалексеевская;Алексеевская;
ПИК;developer;https://www.cian.ru/sale/flat/280619831/;Москва;sale;flat;27;32;1;41.2;388000;15985600;Очаково-Матвеевское;Большая Очаковская;Аминьевская;Большая Очаковская 2
ПИК;developer;https://www.cian.ru/sale/flat/281620158/;Москва;sale;flat;12;24;1;42.6;374360;15947736;Филевский парк;;Багратионовская;Барклая 6 ЖК
Этажи Москва;real_estate_agent;https://www.cian.ru/sale/flat/284087294/;Москва;sale;flat;11;25;1;48.0;331250;15900000;Митино;Митинская;Митино;Life-Митинская Ecopark
Cristall Realty;real_estate_agent;https://www.cian.ru/sale/flat/283746541/;Москва;sale;flat;8;32;1;32.5;489230;15900000;Хорошево-Мневники;Причальный проезд;Шелепиха;Level Причальный
October Group;developer;https://www.cian.ru/sale/flat/283207043/;Москва;sale;flat;3;11;1;39.2;409436;16049930;Раменки;Кинематографический кв-л;Аминьевская;Сторис на Мосфильмовской ЖК
CENTURY 21;real_estate_agent;https://www.cian.ru/sale/flat/283090518/;Москва;sale;flat;14;30;1;36.8;433423;15950000;Раменки;Лобачевского;Аминьевская;Крылья
ФСК Агент;real_estate_agent;https://www.cian.ru/sale/flat/282937114/;Москва;sale;flat;8;25;1;37.4;427807;16000000;Хорошево-Мневники;Шеногина;Хорошёво;Sydney City
CENTURY 21;real_estate_agent;https://www.cian.ru/sale/flat/284648566/;Москва;sale;flat;19;26;1;43.8;365296;16000000;Нагатино-Садовники;1-й Нагатина кв-л;Нагатинская;Левел Нагатинская ЖК
ФСК Агент;real_estate_agent;https://www.cian.ru/sale/flat/275640743/;Москва;sale;flat;10;46;1;37.6;425531;16000000;Обручевский;Академика Волгина;Калужская;Архитектор
