author;link;city;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;district;street;underground;residential_complex
Донстрой;https://www.cian.ru/sale/flat/286394408/;Москва;sale;flat;6;22;3;70.1;34860730;Хорошево-Мневники;проезд Проектируемый № 1077;Терехово ;Остров
Елена Подстрешная;https://www.cian.ru/sale/flat/285882821/;Москва;sale;flat;26;28;3;90.0;28800000;Филевский парк;Береговой проезд;Шелепиха;мой адрес На Береговом
Аеон-Девелопмент;https://www.cian.ru/sale/flat/274260646/;Москва;sale;flat;-1;-1;-1;202.0;62099969;Дорогомилово;Кутузовский проезд;Фили;River Park Towers Кутузовский
Century 21 Premium Property;https://www.cian.ru/sale/flat/282915444/;Москва;sale;flat;22;25;3;119.9;44000000;Раменки;Янковского;Аминьевская;Событие
ANT Development;https://www.cian.ru/sale/flat/274568594/;Москва;sale;flat;-1;-1;-1;202.0;136488476;Дорогомилово;;Парк Победы;Виктори Парк Резиденсез ЖК
MR Group;https://www.cian.ru/sale/flat/272591246/;Москва;sale;flat;-1;-1;-1;202.0;41336553;Филевский парк;;Фили;Фили Сити ЖК
MR Group;https://www.cian.ru/sale/flat/254287057/;Москва;sale;flat;7;41;3;93.7;40337850;Филевский парк;Багратионовский проезд;Фили;Filicity
VESPER;https://www.cian.ru/sale/flat/269051087/;Москва;sale;flat;-1;-1;-1;202.0;214038000;Пресненский;Костикова;Улица 1905 года;Lucky
NF Group - ex-Knight Frank Russia;https://www.cian.ru/sale/flat/285078074/;Москва;sale;flat;4;8;3;100.6;162972600;Хамовники;Льва Толстого;Парк Культуры;Литератор
Стадион Спартак;https://www.cian.ru/sale/flat/282960151/;Москва;sale;flat;2;13;3;79.3;29539250;Покровское-Стрешнево;Северо-Западный ао;Спартак;Клубный Город на Реке Примавера ЖК
Absolute Premium;https://www.cian.ru/sale/flat/285442074/;Москва;sale;flat;9;18;3;146.7;109332000;Хамовники;;Воробьёвы горы;Коллекция Лужники ЖК
GRAND ESTATE - Премиальная недвижимость;https://www.cian.ru/sale/flat/285789326/;Москва;sale;flat;6;41;3;84.0;39900000;Хорошевский;Ленинградский проспект;Аэропорт;Прайм Парк
Пионер;https://www.cian.ru/sale/flat/280755931/;Москва;sale;flat;6;32;3;114.8;53295211;Даниловский;;Павелецкая;Хай Лайф ЖК
ASTERUS;https://www.cian.ru/sale/flat/283157309/;Москва;sale;flat;14;25;3;87.36;32270784;Покровское-Стрешнево;;Спартак;Алиа ЖК
KR Properties;https://www.cian.ru/sale/flat/275220036/;Москва;sale;flat;5;5;3;235.1;228728640;Хамовники;Зубовская;Парк Культуры;Metropol Serviced Residences
Capital Group;https://www.cian.ru/sale/flat/286464156/;Москва;sale;flat;10;18;3;94.5;80325000;Дорогомилово;;Киевская;Бадаевский ЖК
MR Group;https://www.cian.ru/sale/flat/274969802/;Москва;sale;flat;6;28;3;91.7;37402163;Даниловский;;Серпуховская;Павелецкая Сити ЖК
SHOW ME;https://www.cian.ru/sale/flat/284601688/;Москва;sale;flat;5;6;3;144.8;62000000;Беговой;3-я Ямского Поля;Белорусская;Art Residence
SHOW ME;https://www.cian.ru/sale/flat/272086934/;Москва;sale;flat;6;6;2;150.0;75000000;Беговой;3-я Ямского Поля;Белорусская;Art Residence
CENTURY 21;https://www.cian.ru/sale/flat/285035419/;Москва;sale;flat;9;24;2;68.5;32500000;Фили-Давыдково;Кастанаевская;Кунцевская;Shome
Whitewill;https://www.cian.ru/sale/flat/279147688/;Москва;sale;flat;18;25;2;49.0;22500000;Раменки;Лобачевского;;Событие
КомСервис;https://www.cian.ru/sale/flat/285924764/;Москва;sale;flat;4;7;3;109.7;153580000;Хамовники;2-й Неопалимовский переулок;Парк Культуры;Клубный особняк High Garden
SHOW ME;https://www.cian.ru/sale/flat/281725544/;Москва;sale;flat;5;6;3;103.0;51500000;Беговой;3-я Ямского Поля;Белорусская;Art Residence
Apple Real Estate;https://www.cian.ru/sale/flat/281046753/;Москва;sale;flat;19;20;3;161.7;135000000;Пресненский;2-я Черногрязская;Улица 1905 года;RedSide
PEOPLE;https://www.cian.ru/sale/flat/274288076/;Москва;sale;flat;3;15;3;141.0;179000000;Хамовники;Малая Пироговская;Спортивная;Barrin House
Premium Moscow;https://www.cian.ru/sale/flat/280407302/;Москва;sale;flat;4;21;3;120.83;88000000;Пресненский;Жилой Лаки кв-л;Беговая;Lucky
MadeState;https://www.cian.ru/sale/flat/283028090/;Москва;sale;flat;17;51;3;120.0;39800000;Обручевский;Ленинский проспект;Новаторская;Well House на Ленинском
Аеон-Девелопмент;https://www.cian.ru/sale/flat/274260488/;Москва;sale;flat;2;45;1;42.8;21808632;Дорогомилово;Кутузовский проезд;Фили;River Park Towers Кутузовский
Пионер;https://www.cian.ru/sale/flat/283969702/;Москва;sale;flat;5;22;1;32.0;16299328;Марьина роща;Полковая;Савёловская;PRIDE
Absolute Premium;https://www.cian.ru/sale/flat/280229638/;Москва;sale;flat;9;17;1;55.0;42847000;Хамовники;Лужнецкая набережная;Воробьёвы горы;Luzhniki Collection
Группа Эталон;https://www.cian.ru/sale/flat/284038209/;Москва;sale;flat;5;14;1;40.2;15846405;Даниловский;;Технопарк;Шагал ЖК
MR Group;https://www.cian.ru/sale/flat/282209304/;Москва;sale;flat;18;57;1;39.4;24172234;Филевский парк;;Фили;Фили Сити ЖК
Regions Development;https://www.cian.ru/sale/flat/281325484/;Москва;sale;flat;4;6;1;41.36;20265047;Нагатинский затон;;Технопарк;Дрим Тауэрс ЖК
Донстрой;https://www.cian.ru/sale/flat/285254192/;Москва;sale;flat;6;22;3;70.1;34818670;Хорошево-Мневники;проезд Проектируемый № 1077;Терехово ;Остров
Донстрой;https://www.cian.ru/sale/flat/285255389/;Москва;sale;flat;2;12;1;71.9;48812910;Раменки;Кинематографический кв-л;Мичуринский проспект;Река ЖК
ДОНСТРОЙ;https://www.cian.ru/sale/flat/285256223/;Москва;sale;flat;4;32;3;84.5;34615087;Раменки;Кинематографический кв-л;Мичуринский проспект;Событие-5 ЖК
Донстрой;https://www.cian.ru/sale/flat/285254761/;Москва;sale;flat;4;13;1;38.1;19998690;Хорошево-Мневники;Жилой комплекс остров;Терехово ;Остров
ДОНСТРОЙ;https://www.cian.ru/sale/flat/285256888/;Москва;sale;flat;3;48;1;39.7;20285509;Раменки;Кинематографический кв-л;Мичуринский проспект;Событие-4 ЖК
Донстрой;https://www.cian.ru/sale/flat/285255525/;Москва;sale;flat;31;41;1;45.6;21693060;Хорошево-Мневники;Шелепихинская набережная;Шелепиха;Сердце Столицы
MR Group;https://www.cian.ru/sale/flat/279707484/;Москва;sale;flat;5;16;1;48.2;27499980;Беговой;Северный ао;Белорусская;Слава ЖК
Донстрой;https://www.cian.ru/sale/flat/285254504/;Москва;sale;flat;2;22;2;57.0;27496800;Хорошево-Мневники;проезд Проектируемый № 1074;Терехово ;Остров
ДОНСТРОЙ;https://www.cian.ru/sale/flat/285256422/;Москва;sale;flat;2;49;2;67.2;28338979;Раменки;Кинематографический кв-л;Мичуринский проспект;Событие-4 ЖК
VESPER;https://www.cian.ru/sale/flat/278452130/;Москва;sale;flat;2;21;1;45.44;40896000;Пресненский;Жилой Лаки кв-л;Улица 1905 года;Lucky
Ирина Кузьмина;https://www.cian.ru/sale/flat/285226392/;Москва;sale;flat;1;9;1;31.0;11700000;Южнопортовый;Симоновский Вал;Дубровка;
Донстрой;https://www.cian.ru/sale/flat/285254068/;Москва;sale;flat;7;13;1;29.2;18121520;Хорошево-Мневники;Жилой комплекс остров;Терехово ;Остров
Группа Эталон;https://www.cian.ru/sale/flat/284038327/;Москва;sale;flat;7;13;3;81.7;27261495;Даниловский;;ЗИЛ;Шагал ЖК
IKON Development;https://www.cian.ru/sale/flat/284060415/;Москва;sale;flat;15;21;1;43.7;39330000;Басманный;Земляной Вал;Чкаловская;Дом Chkalov
Юлия Сергеевна Денисова;https://www.cian.ru/sale/flat/285101997/;Москва;sale;flat;5;9;1;36.0;11700000;Даниловский;2-й Павловский переулок;Серпуховская;
Донстрой;https://www.cian.ru/sale/flat/285254719/;Москва;sale;flat;3;13;4;103.2;45026160;Хорошево-Мневники;Жилой комплекс остров;Терехово ;Остров
Аеон-Девелопмент;https://www.cian.ru/sale/flat/275072281/;Москва;sale;flat;34;45;3;86.0;44474603;Дорогомилово;Кутузовский проезд;Фили;River Park Towers Кутузовский
Regions Development;https://www.cian.ru/sale/flat/276630483/;Москва;sale;flat;3;24;3;98.63;33482289;Нагатинский затон;;Технопарк;Дрим Тауэрс ЖК
MR Group;https://www.cian.ru/sale/flat/254287057/;Москва;sale;flat;7;41;3;93.7;38417000;Филевский парк;Багратионовский проезд;Фили;Filicity
Донстрой;https://www.cian.ru/sale/flat/285255470/;Москва;sale;flat;31;41;3;83.8;39424716;Хорошево-Мневники;Шелепихинская набережная;Шелепиха;Сердце Столицы
МИЦ;https://www.cian.ru/sale/flat/286216760/;Москва;sale;flat;-1;-1;-1;202.0;7911302;;;Филатов Луг;
Level Group;https://www.cian.ru/sale/flat/284916947/;Москва;sale;flat;6;19;3;71.0;34213157;Академический;Профсоюзная;Академическая;Level Академическая
А101;https://www.cian.ru/sale/flat/279712842/;Москва;sale;flat;6;10;3;64.1;14211017;;;Улица Горчакова;Дзен-кварталы ЖК
Пионер;https://www.cian.ru/sale/flat/284302529/;Москва;sale;flat;5;23;3;99.74;24935000;Москворечье-Сабурово;;Варшавская;Лайф Варшавская ЖК
КОРТРОС;https://www.cian.ru/sale/flat/284829663/;Москва;sale;flat;9;32;3;64.84;21400000;Останкинский;Годовикова;Алексеевская;iLove
Группа Родина;https://www.cian.ru/sale/flat/285604863/;Москва;sale;flat;12;13;3;53.5;13842500;;;Ольховая;
