author,floor,floors_count,rooms_count,total_meters,price,district,street,underground,residential_complex,line,area,eco_rating,insufficient_infrastructure,convenient_for_life,very_convenient_for_life,few_entertainment,cultural,entertainment,cultural_entertainment,top_residential_infrastructure,square,population,housing_fund_area,line_count,author_count,author_more,floor_position,house_category,population_density
ID 13716514,3,25,5,150.0,70000000,Аэропорт,Ленинградский проспект,Петровский Парк,ВТБ Арена парк,None,САО,6,3,32,65,16,0,49,35,5.0,4.58,79486,1939.7,-1,1,0,0,5,17355.02
Monumental Group,5,5,4,116.0,72970000,Пресненский,Малая Бронная,Тверская,не указано,Замоскворецкая линия,ЦАО,6,17,27,56,16,0,30,54,49.0,11.7,128062,1416.4,1297,88,1,2,2,10945.47
ID 73977360,16,24,4,135.0,61900000,Пресненский,Шмитовский проезд,Тестовская,Шмитовский 16,None,ЦАО,6,17,27,56,16,0,30,54,49.0,11.7,128062,1416.4,-1,1,0,0,5,10945.47
ПИК,27,33,1,43.4,16062340,Кунцево,Академика Павлова,Крылатское,Академика Павлова,Арбатско-Покровская линия,ЗАО,5,17,49,34,56,6,35,3,65.0,16.56,152364,2587.4,1065,1263,1,0,5,9200.72
ПИК,18,33,2,46.4,12305280,Западное Дегунино,Северный ао,Бескудниково,Бусиновский Парк ЖК,None,САО,7,4,96,0,64,0,36,0,40.0,7.53,84163,1385.1,-1,1263,1,0,5,11177.02
ZIP Realty,11,22,-1,15.7,5350000,Тропарево-Никулино,Ленинский проспект,Юго-Западная,не указано,Сокольническая линия,None,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1,-1.0,1452,50,1,0,5,1.0
DOMILION,19,20,2,74.7,25480000,Раменки,Мичуринский проспект,Раменки,не указано,Солнцевская линия,ЗАО,4,26,64,10,76,11,10,3,90.0,18.54,141610,3511.2,1062,13,1,0,5,7638.08
Chase R.E.S.,8,20,5,155.0,90000000,Пресненский,Мантулинская,Выставочная,City Park,Филёвская линия,ЦАО,6,17,27,56,16,0,30,54,49.0,11.7,128062,1416.4,896,138,1,0,5,10945.47
Whitewill,25,41,4,136.0,120000000,Хорошевский,Ленинградский проспект,Аэропорт,Прайм Парк,Замоскворецкая линия,None,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1,-1.0,1297,332,1,0,5,1.0
NF Group - ex-Knight Frank Russia,3,9,5,206.1,141803209,Басманный,Подсосенский переулок,Курская,Резиденция Чистые Пруды,Кольцевая линия,ЦАО,6,6,22,72,1,0,8,91,9.0,8.37,110694,1991.8,597,318,1,0,3,13225.09
ПИК,3,33,2,46.3,10535842,Царицыно,Кавказский бульвар,Кантемировская,Кавказский бульвар 51,Замоскворецкая линия,ЮАО,6,14,86,0,70,0,30,0,75.0,8.43,129138,1836.9,1297,1263,1,0,5,15318.86
РГ-Девелопмент,20,20,1,46.2,13813800,Головинский,Михалковская,Коптево,Михалковский,Московское центральное кольцо,САО,7,35,42,23,61,2,37,0,99.0,8.93,103197,1806.4,1315,58,1,2,5,11556.21
Центральный Департамент Недвижимости,9,17,1,29.9,11500000,Нагатинский затон,Корабельная,Нагатинский Затон,Ривер Парк Коломенское,Большая кольцевая линия,None,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1,-1.0,1525,4,1,0,5,1.0
Гардтекс,6,9,3,107.0,136960000,Хамовники,Саввинская набережная,Киевская,SAVVIN RIVER RESIDENCE,Арбатско-Покровская линия,ЦАО,4,6,44,50,0,6,2,92,13.0,10.08,109218,2559.6,1065,48,1,0,3,10835.12
Владис,2,16,1,34.8,10350000,Головинский,Кронштадтский бульвар,Коптево,не указано,Московское центральное кольцо,САО,7,35,42,23,61,2,37,0,99.0,8.93,103197,1806.4,1315,246,1,0,4,11556.21
ID 80301916,1,4,1,18.8,3506000,Покровское-Стрешнево,Волоколамское шоссе,Трикотажная,не указано,None,СЗАО,5,29,54,17,71,8,21,0,93.0,12.9,59402,1006.7,-1,24,1,1,2,4604.81
